선수명,english_name,fangraphs_id,level,season,team,is_split_row,low_sample_flag,G,GS,IP,ERA,K_9,BB_9,HR_9,FIP,xFIP,WAR,ERA_minus,FIP_minus,xFIP_minus
크리스 볼스테드,Christopher Kenneth Volstad,9901,A,2006,Marlins (A),0,0,26,26,152,3.07895,5.86184,2.13158,0.710526,3.82072,,,73.31462860107422,89.86275482177734,
크리스 볼스테드,Christopher Kenneth Volstad,9901,A+,2007,Marlins (A+),0,0,21,20,126,4.5,6.64286,2.64286,0.571429,3.70127,3.55293,,120.8834457397461,97.6410140991211,
크리스 볼스테드,Christopher Kenneth Volstad,9901,AA,2007,Marlins (AA),0,0,7,7,42.2,3.16406,5.27344,2.10937,0.84375,4.16865,3.97832,,75.71358489990234,101.77974700927734,
크리스 볼스테드,Christopher Kenneth Volstad,9901,AA,2008,Marlins (AA),0,0,15,15,91,3.36264,5.53846,2.96703,0,3.08897,3.89371,,77.8964614868164,73.01083374023438,92.50839233398438
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2008,Marlins,0,0,15,14,84.1,2.88142,5.54941,3.8419,0.320158,3.81977,4.54594,1.50164,66.60739135742188,89.6204605102539,105.20790100097656
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2009,Marlins (AAA),0,1,1,1,4,6.75,15.75,4.5,4.5,7.97191,2.31361,,166.77574157714844,181.258544921875,51.352561950683594
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2009,Marlins,0,0,29,29,159,5.20755,6.0566,3.33962,1.64151,5.29205,4.29151,-0.0764871,122.36737060546875,127.02554321289062,101.27129364013672
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2010,Marlins (AAA),0,1,3,3,17,3.17647,6.88235,4.76471,0.529412,4.40614,4.62057,,73.88997650146484,94.32035064697266,96.55606079101562
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2010,Marlins,0,0,30,30,175,4.57714,5.24571,3.08571,0.874286,4.3407,4.43167,1.31659,112.1597671508789,110.20884704589844,110.80522155761719
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2011,Marlins (AAA),0,1,3,3,18.1,4.41818,6.87273,4.41818,0.490909,4.43787,5.01226,,95.95793151855469,88.6988296508789,97.79437255859375
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2011,Marlins,0,0,29,29,165.2,4.88934,6.35614,2.66197,1.2495,4.32317,3.64063,0.929847,126.25418090820312,114.0810317993164,94.48986053466797
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2012,Cubs (AAA),0,0,12,12,71.1,5.1729,6.56075,2.3972,0.883178,4.45284,4.26218,,116.23754119873047,98.32086944580078,90.86766052246094
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2012,Cubs,0,0,21,21,111.1,6.30539,4.93114,3.47605,1.29341,5.10643,4.67564,-0.105014,156.67486572265625,129.82931518554688,119.41441345214844
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2013,Rockies (AAA),0,0,23,22,127.2,4.58225,4.01828,3.10183,0.845953,4.97969,4.93443,,93.14398193359375,110.51595306396484,111.39909362792969
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2013,Rockies,0,1,6,0,8.1,10.8,3.24001,1.08,1.08,4.96786,5.53906,-0.053477,246.0355987548828,122.57100677490234,147.43345642089844
유네스키 마야,Yunieski Maya,11420,R,2010,Nationals (R),0,1,2,2,7,1.28571,6.42857,2.57143,0,3.30394,3.63669,,36.2133674621582,91.73187255859375,100.54158020019531
유네스키 마야,Yunieski Maya,11420,A+,2010,Nationals (A+),0,1,1,1,4,13.5,9,6.75,2.25,7.6661,6.13532,,340.4079895019531,197.98316955566406,156.62696838378906
유네스키 마야,Yunieski Maya,11420,AAA,2010,Nationals (AAA),0,1,2,2,10.1,0.870968,7.83871,4.35484,0,2.96466,3.77756,,20.791488647460938,71.2390365600586,90.97037506103516
유네스키 마야,Yunieski Maya,11420,MLB,2010,Nationals,0,1,5,5,26,5.88462,4.15385,3.80769,1.03846,5.15477,5.5336,-0.0200247,146.2938995361328,127.98019409179688,138.18115234375
유네스키 마야,Yunieski Maya,11420,AAA,2011,Nationals (AAA),0,0,22,22,129.2,4.99743,6.80206,1.94344,0.971722,3.89231,3.85488,,122.79672241210938,96.27406311035156,95.55604553222656
유네스키 마야,Yunieski Maya,11420,MLB,2011,Nationals,0,0,10,5,32.2,5.23469,4.13265,2.7551,0.82653,4.40294,4.43968,-0.00660343,137.45834350585938,114.70039367675781,115.40889739990234
유네스키 마야,Yunieski Maya,11420,AAA,2012,Nationals (AAA),0,0,28,28,167,3.88024,4.79641,2.15569,1.07784,4.47874,4.10967,,98.51021575927734,114.20596313476562,104.7833480834961
유네스키 마야,Yunieski Maya,11420,AAA,2013,Nationals (AAA),0,0,24,24,146.1,3.87472,6.08884,1.90661,0.615034,3.43724,3.61952,,99.72908020019531,89.30489349365234,93.70857238769531
유네스키 마야,Yunieski Maya,11420,MLB,2013,Nationals,0,1,1,0,0.1,54.0054,0,0,27.0027,42.0518,7.14672,-0.213665,999,999,190.43695068359375
J.D. 마틴,John Dale Martin,3685,A-,2006,Indians (A-),0,1,6,6,18,1.5,6.5,0.5,0.5,2.8953,,,43.809417724609375,83.11640930175781,
J.D. 마틴,John Dale Martin,3685,A,2006,Indians (A),0,1,5,5,15,4.2,9.6,1.8,1.2,3.66809,,,105.64794158935547,91.47957611083984,
J.D. 마틴,John Dale Martin,3685,A+,2006,Indians (A+),0,1,3,2,11.1,0,8.7353,0.794118,0,1.49773,,,0,36.793025970458984,
J.D. 마틴,John Dale Martin,3685,AA,2007,Indians (AA),0,0,9,9,42.1,4.25197,4.88976,3.40158,0.850394,4.75851,4.59083,,100.99031066894531,114.02877807617188,
J.D. 마틴,John Dale Martin,3685,AA,2008,Indians (AA),0,0,31,8,79.2,2.48536,8.02092,2.14644,0.564854,3.14588,3.55062,,58.53109359741211,74.74712371826172,84.06011962890625
J.D. 마틴,John Dale Martin,3685,AAA,2008,Indians (AAA),0,1,4,1,10,1.8,7.2,1.8,1.8,4.92265,4.0393,,42.527610778808594,119.5531005859375,98.43448638916016
