선수명,english_name,mlb_person_id,level,season,league,team,is_split_row,G,GS,IP,ERA,SO,BB,HR,HBP
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2008,National League,Florida Marlins,1,15,14,84.1,2.88,52,36,3,5
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2008,National League,Florida Marlins,0,15,14,84.1,2.88,52,36,3,5
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2009,National League,Florida Marlins,1,29,29,159.0,5.21,107,59,29,3
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2009,National League,Florida Marlins,0,29,29,159.0,5.21,107,59,29,3
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2010,National League,Florida Marlins,1,30,30,175.0,4.58,102,60,17,8
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2010,National League,Florida Marlins,0,30,30,175.0,4.58,102,60,17,8
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2011,National League,Florida Marlins,1,29,29,165.2,4.89,117,49,23,1
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2011,National League,Florida Marlins,0,29,29,165.2,4.89,117,49,23,1
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2012,National League,Chicago Cubs,1,21,21,111.1,6.31,61,43,16,3
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2012,National League,Chicago Cubs,0,21,21,111.1,6.31,61,43,16,3
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2013,National League,Colorado Rockies,1,6,0,8.1,10.80,3,1,1,2
크리스 볼스테드,Christopher Kenneth Volstad,458690,MLB,2013,National League,Colorado Rockies,0,6,0,8.1,10.80,3,1,1,2
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2009,Pacific Coast League,New Orleans Zephyrs,1,1,1,4.0,6.75,7,2,2,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2009,Pacific Coast League,New Orleans Zephyrs,0,1,1,4.0,6.75,7,2,2,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2010,Pacific Coast League,New Orleans Zephyrs,1,3,3,17.0,3.18,13,9,1,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2010,Pacific Coast League,New Orleans Zephyrs,0,3,3,17.0,3.18,13,9,1,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2011,Pacific Coast League,New Orleans Zephyrs,1,3,3,18.1,4.42,14,9,1,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2011,Pacific Coast League,New Orleans Zephyrs,0,3,3,18.1,4.42,14,9,1,0
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2012,Pacific Coast League,Iowa Cubs,1,12,12,71.1,5.17,52,19,7,4
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2012,Pacific Coast League,Iowa Cubs,0,12,12,71.1,5.17,52,19,7,4
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2013,Pacific Coast League,Colorado Springs Sky Sox,1,23,22,127.2,4.58,57,44,12,2
크리스 볼스테드,Christopher Kenneth Volstad,458690,AAA,2013,Pacific Coast League,Colorado Springs Sky Sox,0,23,22,127.2,4.58,57,44,12,2
