선수명,english_name,fangraphs_id,level,season,team,is_split_row,G,GS,IP,ERA,K_9,BB_9,HR_9,FIP,xFIP,WAR
크리스 볼스테드,Christopher Kenneth Volstad,9901,A,2006,Marlins (A),0,26,26,152,3.07895,5.86184,2.13158,0.710526,3.82072,,
크리스 볼스테드,Christopher Kenneth Volstad,9901,A+,2007,Marlins (A+),0,21,20,126,4.5,6.64286,2.64286,0.571429,3.70127,3.55293,
크리스 볼스테드,Christopher Kenneth Volstad,9901,AA,2007,Marlins (AA),0,7,7,42.2,3.16406,5.27344,2.10937,0.84375,4.16865,3.97832,
크리스 볼스테드,Christopher Kenneth Volstad,9901,AA,2008,Marlins (AA),0,15,15,91,3.36264,5.53846,2.96703,0,3.08897,3.89371,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2008,Marlins,0,15,14,84.1,2.88142,5.54941,3.8419,0.320158,3.81977,4.54594,1.50164
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2009,Marlins (AAA),0,1,1,4,6.75,15.75,4.5,4.5,7.97191,2.31361,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2009,Marlins,0,29,29,159,5.20755,6.0566,3.33962,1.64151,5.29205,4.29151,-0.0764871
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2010,Marlins (AAA),0,3,3,17,3.17647,6.88235,4.76471,0.529412,4.40614,4.62057,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2010,Marlins,0,30,30,175,4.57714,5.24571,3.08571,0.874286,4.3407,4.43167,1.31659
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2011,Marlins (AAA),0,3,3,18.1,4.41818,6.87273,4.41818,0.490909,4.43787,5.01226,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2011,Marlins,0,29,29,165.2,4.88934,6.35614,2.66197,1.2495,4.32317,3.64063,0.929847
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2012,Cubs (AAA),0,12,12,71.1,5.1729,6.56075,2.3972,0.883178,4.45284,4.26218,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2012,Cubs,0,21,21,111.1,6.30539,4.93114,3.47605,1.29341,5.10643,4.67564,-0.105014
크리스 볼스테드,Christopher Kenneth Volstad,9901,AAA,2013,Rockies (AAA),0,23,22,127.2,4.58225,4.01828,3.10183,0.845953,4.97969,4.93443,
크리스 볼스테드,Christopher Kenneth Volstad,9901,MLB,2013,Rockies,0,6,0,8.1,10.8,3.24001,1.08,1.08,4.96786,5.53906,-0.053477
유네스키 마야,Yunieski Maya,11420,R,2010,Nationals (R),0,2,2,7,1.28571,6.42857,2.57143,0,3.30394,3.63669,
유네스키 마야,Yunieski Maya,11420,A+,2010,Nationals (A+),0,1,1,4,13.5,9,6.75,2.25,7.6661,6.13532,
유네스키 마야,Yunieski Maya,11420,AAA,2010,Nationals (AAA),0,2,2,10.1,0.870968,7.83871,4.35484,0,2.96466,3.77756,
유네스키 마야,Yunieski Maya,11420,MLB,2010,Nationals,0,5,5,26,5.88462,4.15385,3.80769,1.03846,5.15477,5.5336,-0.0200247
유네스키 마야,Yunieski Maya,11420,AAA,2011,Nationals (AAA),0,22,22,129.2,4.99743,6.80206,1.94344,0.971722,3.89231,3.85488,
유네스키 마야,Yunieski Maya,11420,MLB,2011,Nationals,0,10,5,32.2,5.23469,4.13265,2.7551,0.82653,4.40294,4.43968,-0.00660343
유네스키 마야,Yunieski Maya,11420,AAA,2012,Nationals (AAA),0,28,28,167,3.88024,4.79641,2.15569,1.07784,4.47874,4.10967,
유네스키 마야,Yunieski Maya,11420,AAA,2013,Nationals (AAA),0,24,24,146.1,3.87472,6.08884,1.90661,0.615034,3.43724,3.61952,
유네스키 마야,Yunieski Maya,11420,MLB,2013,Nationals,0,1,0,0.1,54.0054,0,0,27.0027,42.0518,7.14672,-0.213665
J.D. 마틴,John Dale Martin,3685,A-,2006,Indians (A-),0,6,6,18,1.5,6.5,0.5,0.5,2.8953,,
J.D. 마틴,John Dale Martin,3685,A,2006,Indians (A),0,5,5,15,4.2,9.6,1.8,1.2,3.66809,,
J.D. 마틴,John Dale Martin,3685,A+,2006,Indians (A+),0,3,2,11.1,0,8.7353,0.794118,0,1.49773,,
J.D. 마틴,John Dale Martin,3685,AA,2007,Indians (AA),0,9,9,42.1,4.25197,4.88976,3.40158,0.850394,4.75851,4.59083,
J.D. 마틴,John Dale Martin,3685,AA,2008,Indians (AA),0,31,8,79.2,2.48536,8.02092,2.14644,0.564854,3.14588,3.55062,
J.D. 마틴,John Dale Martin,3685,AAA,2008,Indians (AAA),0,4,1,10,1.8,7.2,1.8,1.8,4.92265,4.0393,
J.D. 마틴,John Dale Martin,3685,AAA,2009,Nationals (AAA),0,16,15,88,2.65909,6.44318,1.02273,0.409091,2.7177,3.42766,
J.D. 마틴,John Dale Martin,3685,MLB,2009,Nationals,0,15,15,77,4.44156,4.32468,2.80519,1.63636,5.66851,5.36774,-0.0650183
J.D. 마틴,John Dale Martin,3685,AAA,2010,Nationals (AAA),0,7,7,41,3.5122,5.4878,1.7561,0.658537,3.64523,4.39155,
J.D. 마틴,John Dale Martin,3685,MLB,2010,Nationals,0,9,9,48,4.125,5.8125,2.0625,1.6875,4.97368,4.36804,0.0944715
J.D. 마틴,John Dale Martin,3685,AAA,2011,Nationals (AAA),0,30,14,107.2,3.92879,6.01858,1.42105,1.42105,4.62069,3.97524,
J.D. 마틴,John Dale Martin,3685,AAA,2012,Marlins (AAA),0,29,21,130,5.95385,6.16154,1.17692,1.24615,4.67549,4.48759,
J.D. 마틴,John Dale Martin,3685,AAA,2013,Rays (AAA),0,27,27,160.1,2.75052,6.51143,1.45946,0.841996,3.62901,3.78217,
코리 리오단,Cory S. Riordan,sa390235,A-,2007,Rockies (A-),0,14,11,65.2,4.24873,8.90863,2.32995,0.685279,3.71854,3.88725,
코리 리오단,Cory S. Riordan,sa390235,A,2008,Rockies (A),0,26,25,167.2,3.6501,8.58847,1.55666,0.966203,3.7013,3.54966,
코리 리오단,Cory S. Riordan,sa390235,A+,2009,Rockies (A+),0,28,27,169.2,3.92534,7.10806,2.54617,0.583497,4.11333,4.62879,
코리 리오단,Cory S. Riordan,sa390235,AA,2010,Rockies (AA),0,27,24,161.2,4.00825,7.51546,2.11546,1.1134,3.94974,3.59447,
코리 리오단,Cory S. Riordan,sa390235,AA,2011,Rockies (AA),0,27,22,142.1,5.37471,6.32318,1.5808,1.32787,4.56498,4.07193,
코리 리오단,Cory S. Riordan,sa390235,AAA,2011,Rockies (AAA),0,1,1,7,3.85714,5.14286,0,0,2.64047,5.06822,
코리 리오단,Cory S. Riordan,sa390235,AA,2012,Rockies (AA),0,20,1,39.1,3.66102,6.63559,1.83051,1.37288,4.39875,3.99497,
코리 리오단,Cory S. Riordan,sa390235,AAA,2012,Rockies (AAA),0,13,9,55.1,4.87952,6.01807,1.46386,0.487952,3.52322,4.41085,
코리 리오단,Cory S. Riordan,sa390235,AA,2013,Rockies (AA),0,7,0,14.1,3.13954,5.65116,0.627907,0.627907,3.33542,3.83178,
코리 리오단,Cory S. Riordan,sa390235,AAA,2013,Rockies (AAA),0,25,13,74.2,6.75,6.75,3.01339,1.44643,5.28405,4.98313,
에버렛 티포드,Everett James Teaford,3732,R,2006,Royals (R),0,15,12,63,3.71429,7.28571,2.85714,0.428571,3.83045,,
에버렛 티포드,Everett James Teaford,3732,A,2007,Royals (A),0,27,21,134.2,4.67822,5.61386,2.40594,0.735149,4.05955,4.18401,
에버렛 티포드,Everett James Teaford,3732,A+,2008,Royals (A+),0,28,23,144.1,3.80369,7.23326,2.86836,0.935335,4.20655,4.17247,
에버렛 티포드,Everett James Teaford,3732,A+,2009,Royals (A+),0,11,11,64,2.39062,6.89062,1.6875,0.984375,3.84542,3.6181,
에버렛 티포드,Everett James Teaford,3732,AA,2009,Royals (AA),0,16,16,81,5.11111,4.66667,3.77778,1.33333,5.53217,4.93342,
