선수명,status,matched_variant,fangraphs_id,fangraphs_name,tried
크리스 볼스테드,lastname_fallback_birth_date_match,Volstad,9901,Chris Volstad,
유네스키 마야,lastname_fallback_birth_date_match,Maya,11420,Yunesky Maya,
J.D. 마틴,birth_date_match,J.D. Martin,3685,J.D. Martin,
코리 리오단,birth_date_match,Cory Riordan,sa390235,Cory Riordan,
에버렛 티포드,birth_date_match,Everett James Teaford,3732,Everett Teaford,
하이로 어센시오,birth_date_match,Jairo Manuel Asencio,3332,Jairo Asencio,
저스틴 토마스,birth_date_match,Justin Thomas,9910,Justin Thomas,
케일럽 클레이,birth_date_match,Caleb Clay,sa326518,Caleb Clay,
앤드루 앨버스,birth_date_match,Andrew ALBERS,7853,Andrew Albers,
라이언 타투스코,birth_date_match,Ryan Tatusko,sa389188,Ryan Tatusko,
테드 웨버,birth_date_match,Thad G. Weber,8036,Thad Weber,
트레비스 밴와트,birth_date_match,Travis Banwart,sa389775,Travis Banwart,
로스 울프,birth_date_match,Ross Wolf,4534,Ross Wolf,
앤서니 스와잭,birth_date_match,Anthony Swarzak,7466,Anthony Swarzak,
타일러 클로이드,birth_date_match,Tyler Cloyd,8536,Tyler Cloyd,
알프레도 피가로,birth_date_match,Alfredo Figaro,8404,Alfredo Figaro,
루카스 하렐,birth_date_match,Lucas Harrell,7541,Lucas Harrell,
조쉬 스틴슨,lastname_fallback_birth_date_match,Stinson,3219,Josh Stinson,
에반 믹,birth_date_match,Evan David Meek,5109,Evan Meek,
브룩스 레일리,birth_date_match,Brooks Raley,10061,Brooks Raley,
조쉬 린드블럼,lastname_fallback_birth_date_match,Lindblom,7882,Josh Lindblom,
에스밀 로저스,birth_date_match,Esmil Rogers,6317,Esmil Rogers,
앤드루 시스코,birth_date_match,Andrew Sisco,3706,Andrew Sisco,
필 어윈,birth_date_match,Phil Irwin,9489,Phil Irwin,
메릴 켈리,birth_date_match,Merrill Kelly,11156,Merrill Kelly,
콜린 벨레스터,birth_date_match,Collin Thomas Balester,6883,Collin Balester,
앨런 웹스터,lastname_fallback_birth_date_match,Webster,3993,Allen Webster,
아놀드 레온,birth_date_match,Arnold Leon,5595,Arnold Leon,
요한 플란데,birth_date_match,Yohan Flande,5057,Yohan Flande,
데이비드 허프,birth_date_match,David Huff,4257,David Huff,
헥터 노에시,birth_date_match,Hector Noesi,3292,Hector Noesí,
지크 스프루일,lastname_fallback_birth_date_match,Spruill,3873,Zeke Spruill,
파비오 카스티요,birth_date_match,Fabio Castillo,2826,Fabio Castillo,
에릭 서캠프,birth_date_match,Eric Surkamp,2540,Eric Surkamp,
슈가 마리몬,birth_date_match,Sugar Ray Marimon,6027,Sugar Ray Marimon,
요한 피노,birth_date_match,Yohan Pino,6955,Yohan Pino,
조쉬 로위,birth_date_match,Josh Lowey,sa560990,Josh Lowey,
브라울리오 라라,birth_date_match,Braulio Lara,sa506176,Braulio Lara,
로버트 코엘로,birth_date_match,Robert Coello,1149,Robert Coello,
스콧 맥그레거,birth_date_match,Scott McGregor,sa455250,Scott McGregor,
재크 페트릭,birth_date_match,Zachary Petrick,sa659444,Zach Petrick,
앤서니 레나도,birth_date_match,Anthony Ranaudo,11424,Anthony Ranaudo,
팻 딘,lastname_fallback_birth_date_match,Dean,11350,Pat Dean,
닉 애디튼,birth_date_match,Nick Additon,sa393067,Nick Additon,
제프 맨쉽,birth_date_match,Jeff Manship,6865,Jeff Manship,
돈 로치,birth_date_match,Donn Roach,10620,Donn Roach,
스캇 다이아몬드,birth_date_match,Scott Diamond,5089,Scott Diamond,
션 오설리반,birth_date_match,Sean O'Sullivan,9137,Sean O'Sullivan,
제이크 브리검,birth_date_match,Jake Brigham,2851,Jake Brigham,
세스 프랭코프,birth_date_match,Seth Frankoff,11346,Seth Frankoff,
팀 아델만,lastname_fallback_birth_date_match,Adleman,10968,Tim Adleman,
리살베르토 보니야,birth_date_match,Lisalverto Bonilla,11266,Lisalverto Bonilla,
타일러 윌슨,birth_date_match,Tylor Wilson,12691,Tyler Wilson,
펠릭스 듀브론트,birth_date_match,Felix Antonio Doubront,1478,Félix Doubront,
키버스 샘슨,birth_date_match,Keyvius Sampson,10039,Keyvius Sampson,
제이슨 휠러,birth_date_match,Jason Wheeler,13128,Jason Wheeler,
데이비드 헤일,birth_date_match,David Hale,9756,David Hale,
로건 베렛,lastname_fallback_birth_date_match,Verrett,12905,Logan Verrett,
왕웨이중,birth_date_match,Wei-Chung Wang,14382,Wei-Chung Wang,
앙헬 산체스,birth_date_match,Angel Sanchez,11776,Angel Sánchez,
덱 맥과이어,lastname_fallback_birth_date_match,McGuire,11596,Deck McGuire,
저스틴 헤일리,birth_date_match,Justin Haley,13572,Justin Haley,
벤 라이블리,lastname_fallback_birth_date_match,Lively,14932,Ben Lively,
케이시 켈리,birth_date_match,Casey Kelly,9174,Casey Kelly,
조 윌랜드,lastname_fallback_birth_date_match,Wieland,6109,Joe Wieland,
제이크 톰슨,birth_date_match,Jake Thompson,14371,Jake Thompson,
브록 다익손,birth_date_match,Brock Dykxhoorn,sa658513,Brock Dykxhoorn,
워릭 서폴드,birth_date_match,Warwick Anthony Saupold,13211,Warwick Saupold,
드류 루친스키,lastname_fallback_birth_date_match,Rucinski,12499,Drew Rucinski,
에디 버틀러,lastname_fallback_birth_date_match,Butler,13453,Eddie Butler,
크리스천 프리드릭,birth_date_match,Christian Louis Patrick Friedrich,7942,Christian Friedrich,
윌리엄 쿠에바스,birth_date_match,William Enrique Cuevas Osorio,13331,William Cuevas,
라울 알칸타라,birth_date_match,Raul Alcántara,12790,Raúl Alcántara,
에릭 요키시,birth_date_match,Eric Jokisch,11157,Eric Jokisch,
크리스 플렉센,birth_date_match,Chris Flexen,13896,Chris Flexen,
데이비드 뷰캐넌,birth_date_match,David Buchanan,11176,David Buchanan,
