선수명,english_name,fangraphs_id,mlb_war_career_pre_kbo,n_mlb_seasons_pre_kbo
크리스 볼스테드,Christopher Kenneth Volstad,9901,3.513,6
유네스키 마야,Yunieski Maya,11420,-0.24,3
J.D. 마틴,John Dale Martin,3685,0.029,2
코리 리오단,Cory S. Riordan,sa390235,,0
에버렛 티포드,Everett James Teaford,3732,-0.577,3
하이로 어센시오,Jairo Manuel Asencio,3332,-0.313,4
저스틴 토마스,Justin Joseph Thomas,9910,-0.183,3
케일럽 클레이,Caleb Russell Clay,sa326518,,0
앤드루 앨버스,Andrew ALBERS,7853,0.904,1
라이언 타투스코,Ryan Tatusko,sa389188,,0
테드 웨버,Thad G. Weber,8036,-0.16,2
트레비스 밴와트,Travis Banwart,sa389775,,0
로스 울프,Ross Wolf,4534,-0.307,3
앤서니 스와잭,Anthony Swarzak,7466,1.844,5
타일러 클로이드,Tyler Cloyd,8536,0.248,2
알프레도 피가로,Alfredo Figaro,8404,-0.531,4
루카스 하렐,Lucas Harrell,7541,2.001,5
조쉬 스틴슨,Joshua Randall Stinson,3219,-0.42,4
에반 믹,Evan David Meek,5109,0.425,6
브룩스 레일리,Brooks Raley,10061,-0.586,2
조쉬 린드블럼,Joshua William Josh Lindblom,7882,0.208,4
에스밀 로저스,Esmil Rogers,6317,1.922,6
앤드루 시스코,Andrew Sisco,3706,0.12,3
필 어윈,Phil Irwin,9489,-0.023,2
메릴 켈리,Merrill Kelly,11156,,0
콜린 벨레스터,Collin Thomas Balester,6883,-1.214,6
앨런 웹스터,Carl Allen Webster,3993,-1.117,3
아놀드 레온,Arnold Leon,5595,0.02,1
요한 플란데,Yohan Flande,5057,0.279,2
데이비드 허프,David Gregory Huff,4257,1.72,7
헥터 노에시,Hector Noesi,3292,-0.255,5
지크 스프루일,Ezekiel Stephen Zeke Spruill,3873,0.205,2
파비오 카스티요,Fabio Castillo,2826,,0
에릭 서캠프,Eric M. Surkamp,2540,-0.729,4
슈가 마리몬,Sugar Ray Marimon,6027,-0.292,1
요한 피노,Yohan Pino,6955,1.038,2
조쉬 로위,Josh Lowey,sa560990,,0
브라울리오 라라,Braulio Lara,sa506176,,0
로버트 코엘로,Robert Coello,1149,0.357,3
스콧 맥그레거,Scott McGregor,sa455250,,0
재크 페트릭,Zachary Bernard Petrick,sa659444,,0
앤서니 레나도,Anthony Ranaudo,11424,-1.506,3
팻 딘,Patrick Michael Dean,11350,0.091,1
닉 애디튼,Nick Additon,sa393067,,0
제프 맨쉽,Jeff Manship,6865,0.214,8
돈 로치,Donn Roach,10620,-0.424,3
스캇 다이아몬드,Scott Michael Diamond,5089,2.757,4
션 오설리반,Sean Daniel O'Sullivan,9137,-1.475,7
제이크 브리검,Jake Brigham,2851,-0.015,1
세스 프랭코프,Seth Frankoff,11346,-0.076,1
팀 아델만,Timothy Max Adleman,10968,-0.114,2
리살베르토 보니야,Lisalverto Bonilla,11266,-0.205,2
타일러 윌슨,Tylor Wilson,12691,0.773,3
펠릭스 듀브론트,Felix Antonio Doubront,1478,3.836,6
키버스 샘슨,Keyvius Sampson,10039,0.104,2
제이슨 휠러,Jason Wheeler,13128,-0.124,1
데이비드 헤일,David E. Hale,9756,0.84,4
로건 베렛,Scott Logan Verrett,12905,-0.83,3
왕웨이중,Wei-Chung Wang,14382,-0.471,2
앙헬 산체스,Angel Luis Sanchez,11776,-0.254,1
덱 맥과이어,William Deck McGuire,11596,-0.403,2
저스틴 헤일리,Justin Case Haley,13572,-0.215,2
벤 라이블리,Bennett Lively,14932,1.076,2
케이시 켈리,Casey Patrick Kelly,9174,0.307,4
조 윌랜드,Joseph Andrew Wieland,6109,-0.415,4
제이크 톰슨,Jake Thompson,14371,-0.443,3
브록 다익손,Brock D. Dykxhoorn,sa658513,,0
워릭 서폴드,Warwick Anthony Saupold,13211,-0.674,3
드류 루친스키,Andrew James Rucinski,12499,-0.076,4
에디 버틀러,Timothy Edward Butler,13453,-0.602,5
크리스천 프리드릭,Christian Louis Patrick Friedrich,7942,3.068,4
윌리엄 쿠에바스,William Enrique Cuevas Osorio,13331,-0.22,3
라울 알칸타라,Raul Alcántara,12790,-0.904,2
에릭 요키시,Eric Spenser Jokisch,11157,-0.155,1
크리스 플렉센,Chris Flexen,13896,-1.155,3
데이비드 뷰캐넌,David Andrew Buchanan,11176,1.065,2
애런 브룩스,Aaron Lee Brooks,12272,0.322,4
드류 가뇽,Andrew M. Drew Gagnon,12545,-1.154,2
댄 스트레일리,Dan Straily,9460,3.614,8
애드리안 샘슨,Adrian Sampson,13339,0.122,3
오드리사머 데스파이네,Odrisamer Despaigne,16017,1.188,6
닉 킹엄,Nick Kingham,11694,-0.515,2
리카르도 핀토,Ricardo Pinto,16318,-0.525,2
아리엘 미란다,Ariel Miranda,17526,0.188,3
워커 로켓,Andrew Walker Lockett,13804,-0.375,3
앤드류 수아레즈,Andrew Jose Suarez,18300,0.745,3
대니얼 멩덴,Daniel Joseph Mengden,16980,2.457,5
보 다카하시,Rodrigo Hitoshi Bo Takahashi,sa830370,,0
앤더슨 프랑코,Enderson Daniel Franco,11896,-0.008,1
라이언 카펜터,Ryan Nicholas Carpenter,12699,-0.86,2
웨스 파슨스,Wes Parsons,14764,-0.795,2
윌머 폰트,Wilmer Font Gomez,5257,-0.059,6
아티 르위키,Artie Michael Lewicki,16731,0.524,3
샘 가빌리오,Samuel Joseph Gaviglio,12778,0.563,4
로버트 스탁,Robert Anthony Stock,6576,0.399,4
브랜던 워델,Brandon David Waddell,18347,-0.23,2
앨버트 수아레즈,Albert Joe Suárez,6175,0.109,2
로니 윌리엄스,Ronnie Ellis Williams,sa3018090,,0
션 놀린,Sean Patrick Nolin,11341,-0.061,4
찰리 반스,Charlie Barnes,19865,0.147,1
글렌 스파크맨,Glenn Sparkman,15200,-0.101,4
예프리 라미레즈,Yefry Ramírez Alcala,15655,0.178,3
펠릭스 페냐,Félix Ricardo Peña,13403,2.603,6
맷 더모디,Matt Dermody,14844,-0.317,3
웨스 벤자민,Wes Benjamin,19243,-0.378,2
이반 노바,Iván Nova,1994,13.3,11
숀 모리만도,Shawn Morimando,13606,-0.244,2
타일러 애플러,Tyler Austin Eppler,sa829043,,0
딜런 파일,Dylan Michael File,sa3004197,,0
테일러 와이드너,Taylor Browning Widener,19266,-0.516,3
아도니스 메디나,Adonis Medina,19903,0.218,3
숀 앤더슨,Shaun Anderson,19453,0.452,4
마리오 산체스,Mario Sanchez,sa691863,,0
애런 윌커슨,Aaron Wilkerson,16904,-0.151,3
