선수명,Year,Team,Age,Pos,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
크리스 볼스테드,2014,두산,27,P,17,17,0,1,1,0,5,7,0,0,87.0,60,70,68.30,410,116,20,2,8,37,7,0,32,6,0,4,6.21,7.24,7.03,6.00,1.76,-0.05
유네스키 마야,2014,두산,33,P,11,11,0,1,1,0,2,4,0,0,63.0,34,36,33.95,278,67,10,0,6,24,4,0,54,2,0,2,4.86,5.14,4.85,4.62,1.44,1.31
유네스키 마야,2015,두산,34,P,13,13,0,1,1,1,2,5,0,0,68.1,62,62,59.95,317,83,13,3,6,31,5,2,62,0,3,0,8.17,8.17,7.90,4.41,1.67,-0.48
J.D. 마틴,2014,삼성,30,P,23,22,1,0,0,0,9,6,0,0,128.0,68,69,65.05,562,148,36,0,10,31,7,1,84,4,2,2,4.78,4.85,4.57,4.46,1.40,3.46
코리 리오단,2014,LG,28,P,28,28,0,2,2,1,9,10,0,0,168.0,74,80,78.30,707,177,32,5,13,37,10,1,77,7,0,8,3.96,4.29,4.19,4.88,1.27,4.31
에버렛 티포드,2014,LG,29,P,20,19,1,0,0,0,5,6,0,0,99.2,58,64,60.25,455,105,14,2,9,51,6,2,85,6,0,2,5.24,5.78,5.44,4.91,1.57,1.42
하이로 어센시오,2014,KIA,30,P,46,0,46,41,0,0,4,1,20,0,46.2,21,24,26.60,207,49,12,1,5,14,2,0,56,6,0,5,4.05,4.63,5.13,3.59,1.35,0.85
저스틴 토마스,2014,KIA,29,P,10,9,1,1,0,0,2,2,0,0,46.2,23,26,26.00,210,55,9,0,3,19,1,1,51,4,0,0,4.44,5.01,5.01,3.55,1.59,0.98
케일럽 클레이,2014,한화,25,P,10,10,0,0,0,0,3,4,0,0,40.0,37,40,37.90,204,62,7,4,8,25,3,0,20,2,0,0,8.33,9.00,8.53,7.55,2.17,-0.13
앤드루 앨버스,2014,한화,28,P,28,28,0,1,1,1,6,13,0,0,151.1,99,108,100.05,673,200,35,7,18,40,4,0,107,5,0,9,5.89,6.42,5.95,4.80,1.59,2.15
라이언 타투스코,2014,한화,28,P,14,12,2,1,1,0,2,6,0,0,63.2,50,51,44.95,299,64,9,2,7,45,6,0,49,1,0,10,7.07,7.21,6.35,6.12,1.71,0.66
테드 웨버,2014,NC,29,P,24,23,1,1,1,0,9,6,0,0,118.0,60,66,63.25,512,132,25,0,13,42,3,0,85,3,2,5,4.58,5.03,4.82,4.95,1.47,2.57
트레비스 밴와트,2014,SK,28,P,11,11,0,0,0,0,9,1,0,0,66.2,23,27,27.00,282,56,7,1,6,26,5,1,56,4,0,1,3.11,3.65,3.65,4.67,1.23,2.28
트레비스 밴와트,2015,SK,29,P,12,12,0,0,0,0,5,3,0,0,56.1,29,29,29.00,245,70,15,1,5,13,2,0,50,0,1,2,4.63,4.63,4.63,3.76,1.47,1.13
트레비스 밴와트,2016,KT,30,P,28,27,1,0,0,0,6,13,0,0,134.2,89,103,97.50,614,172,27,4,21,49,4,0,92,11,0,6,5.95,6.88,6.52,5.61,1.64,1.34
로스 울프,2014,SK,31,P,23,13,10,9,0,0,2,2,4,0,85.1,46,48,42.20,364,88,17,0,10,27,6,0,41,2,0,1,4.85,5.06,4.45,5.65,1.35,2.23
