선수명,status,matched_variant,mlb_person_id,mlb_fullName,tried
크리스 볼스테드,lastname_fallback_birth_date_match,Volstad,458690,Chris Volstad,
유네스키 마야,lastname_fallback_birth_date_match,Maya,493337,Yunesky Maya,
J.D. 마틴,birth_date_match,J.D. Martin,455605,J.D. Martin,
코리 리오단,birth_date_match,Cory Riordan,476225,Cory Riordan,
에버렛 티포드,birth_date_match,Everett Teaford,501870,Everett Teaford,
하이로 어센시오,birth_date_match,Jairo Asencio,446003,Jairo Asencio,
저스틴 토마스,birth_date_match,Justin Thomas,476206,Justin Thomas,
케일럽 클레이,birth_date_match,Caleb Clay,502175,Caleb Clay,
앤드루 앨버스,birth_date_match,Andrew ALBERS,452027,Andrew Albers,
테드 웨버,birth_date_match,Thad Weber,519403,Thad Weber,
트레비스 밴와트,birth_date_match,Travis Banwart,518432,Travis Banwart,
로스 울프,birth_date_match,Ross Wolf,448693,Ross Wolf,
앤서니 스와잭,birth_date_match,Anthony Swarzak,461872,Anthony Swarzak,
타일러 클로이드,birth_date_match,Tyler Cloyd,543031,Tyler Cloyd,
알프레도 피가로,birth_date_match,Alfredo Figaro,451628,Alfredo Figaro,
루카스 하렐,birth_date_match,Lucas Harrell,449173,Lucas Harrell,
조쉬 스틴슨,lastname_fallback_birth_date_match,Stinson,502139,Josh Stinson,
에반 믹,birth_date_match,Evan Meek,457425,Evan Meek,
브룩스 레일리,birth_date_match,Brooks Raley,548384,Brooks Raley,
조쉬 린드블럼,lastname_fallback_birth_date_match,Lindblom,458676,Josh Lindblom,
에스밀 로저스,birth_date_match,Esmil Rogers,469134,Esmil Rogers,
재크 스튜어트,lastname_fallback_birth_date_match,Stewart,543819,Zach Stewart,
앤드루 시스코,birth_date_match,Andrew Sisco,434878,Andrew Sisco,
필 어윈,birth_date_match,Phil Irwin,572947,Phil Irwin,
메릴 켈리,birth_date_match,Merrill Kelly,518876,Merrill Kelly,
콜린 벨레스터,birth_date_match,Collin Balester,444446,Collin Balester,
앨런 웹스터,lastname_fallback_birth_date_match,Webster,543903,Allen Webster,
아놀드 레온,birth_date_match,Arnold Leon,504186,Arnold Leon,
요한 플란데,birth_date_match,Yohan Flande,456071,Yohan Flande,
데이비드 허프,birth_date_match,David Huff,453307,David Huff,
헥터 노에시,birth_date_match,Hector Noesi,456051,Hector Noesí,
지크 스프루일,lastname_fallback_birth_date_match,Spruill,543809,Zeke Spruill,
파비오 카스티요,birth_date_match,Fabio Castillo,503566,Fabio Castillo,
에릭 서캠프,birth_date_match,Eric Surkamp,474668,Eric Surkamp,
슈가 마리몬,birth_date_match,Sugar Ray Marimon,516970,Sugar Ray Marimon,
요한 피노,birth_date_match,Yohan Pino,464416,Yohan Pino,
조쉬 로위,lastname_fallback_birth_date_match,Lowey,545693,Jason Lowey,
브라울리오 라라,birth_date_match,Braulio Lara,542316,Braulio Lara,
로버트 코엘로,birth_date_match,Robert Coello,445193,Robert Coello,
스콧 맥그레거,birth_date_match,Scott McGregor,543520,Scott McGregor,
재크 페트릭,lastname_fallback_birth_date_match,Petrick,623967,Zach Petrick,
앤서니 레나도,birth_date_match,Anthony Ranaudo,519168,Anthony Ranaudo,
팻 딘,lastname_fallback_birth_date_match,Dean,534737,Pat Dean,
닉 애디튼,birth_date_match,Nick Additon,502836,Nick Additon,
제프 맨쉽,birth_date_match,Jeff Manship,453249,Jeff Manship,
