연도,팀,선수명,대체영입여부,실전출전여부,비고,출처유형
2014,두산,크리스 볼스테드,N,Y,시즌 초 영입 7월 퇴출,위키백과 팀 문서
2014,두산,유네스키 마야,Y,Y,볼스테드 대체 7월 입단,위키백과 팀 문서
2014,삼성,J.D. 마틴,N,Y,,위키백과 팀 문서
2014,LG,코리 리오단,N,Y,,위키백과 팀 문서
2014,LG,에버렛 티포드,N,Y,,위키백과 팀 문서
2014,KIA,하이로 어센시오,N,Y,,위키백과 팀 문서
2014,KIA,저스틴 토마스,N,Y,,위키백과 팀 문서
2014,한화,케일럽 클레이,N,Y,,위키백과 팀 문서
2014,한화,앤드루 앨버스,N,Y,,위키백과 팀 문서
2014,한화,라이언 타투스코,N,Y,,위키백과 팀 문서
2014,NC,테드 웨버,N,Y,,위키백과 팀 문서
2014,SK,트레비스 밴와트,N,Y,,위키백과 팀 문서
2014,SK,로스 울프,N,Y,,위키백과 팀 문서
2015,두산,앤서니 스와잭,Y,Y,마야 대체 6월 영입,위키백과 팀 문서
2015,삼성,타일러 클로이드,N,Y,,위키백과 팀 문서
2015,삼성,알프레도 피가로,N,Y,,위키백과 팀 문서
2015,LG,루카스 하렐,N,Y,뉴스로 실전출전 확인(2015년 33경기 171.2이닝 10승11패 4.93ERA),뉴스 기사(머니투데이)
2015,KIA,조쉬 스틴슨,N,Y,,위키백과 팀 문서
2015,KIA,에반 믹,N,Y,,위키백과 팀 문서
2015,롯데,브룩스 레일리,N,Y,,위키백과 팀 문서
2015,롯데,조쉬 린드블럼,N,Y,,위키백과 팀 문서
2015,한화,에스밀 로저스,N,Y,,위키백과 팀 문서
2015,NC,재크 스튜어트,N,Y,,위키백과 팀 문서
2015,kt,앤드루 시스코,N,Y,"STATIZ 확인: 신인지명=2014년(kt), 활약연도/실전기록=2015년만 존재. 실전 기록 있는 해를 KBO 첫 시즌으로 볼지 최종 결정 필요",STATIZ 확인
2015,kt,필 어윈,N,Y,,위키백과 팀 문서
2015,SK,메릴 켈리,N,Y,,위키백과 팀 문서
2016,삼성,콜린 벨레스터,N,확인필요,,위키백과 팀 문서
2016,삼성,앨런 웹스터,N,확인필요,,위키백과 팀 문서
2016,삼성,아놀드 레온,N,Y,,위키백과 팀 문서
2016,삼성,요한 플란데,N,Y,STATIZ 신인지명 2016 삼성과 일치(G=13),STATIZ 확인
2016,LG,데이비드 허프,N,Y,STATIZ 신인지명 2016 LG와 일치,STATIZ 확인
2016,KIA,헥터 노에시,N,Y,STATIZ 신인지명 2016 KIA와 일치(G=31),STATIZ 확인
2016,KIA,지크 스프루일,N,Y,,위키백과 팀 문서
2016,한화,알렉산드로 마에스트리,N,Y,STATIZ 신인지명 2016 한화와 일치(G=9),STATIZ 확인
2016,한화,파비오 카스티요,N,Y,,위키백과 팀 문서
2016,한화,에릭 서캠프,N,Y,,위키백과 팀 문서
2016,kt,슈가 마리몬,N,Y,,위키백과 팀 문서
2016,kt,요한 피노,N,Y,,위키백과 팀 문서
2016,kt,조쉬 로위,N,Y,,위키백과 팀 문서
2016,SK,브라울리오 라라,N,Y,,위키백과 팀 문서
2016,넥센,로버트 코엘로,N,Y,,위키백과 팀 문서
2016,넥센,스콧 맥그레거,Y,Y,시즌 중 6월 입단,위키백과 팀 문서
2017,삼성,재크 페트릭,N,Y,,위키백과 팀 문서
2017,삼성,앤서니 레나도,N,Y,,위키백과 팀 문서
2017,KIA,팻 딘,N,Y,,위키백과 팀 문서
2017,롯데,파커 마켈,N,Y,개인 사정으로 계약 해지,위키백과 팀 문서
2017,롯데,닉 에디튼,N,Y,,위키백과 팀 문서
2017,NC,제프 맨쉽,N,Y,,위키백과 팀 문서
2017,kt,돈 로치,N,Y,,위키백과 팀 문서
2017,SK,스캇 다이아몬드,N,Y,,위키백과 팀 문서
2017,넥센,션 오설리반,N,Y,,위키백과 팀 문서
2017,넥센,제이크 브리검,Y,Y,시즌 중 5월 입단,위키백과 팀 문서
2018,두산,세스 프랭코프,N,Y,,위키백과 팀 문서
2018,삼성,팀 아델만,N,Y,,위키백과 팀 문서
2018,삼성,리살베르토 보니야,N,Y,,위키백과 팀 문서
2018,LG,타일러 윌슨,N,Y,,위키백과 팀 문서
2018,롯데,펠릭스 듀브론트,N,Y,,위키백과 팀 문서
2018,한화,키버스 샘슨,N,Y,,위키백과 팀 문서
2018,한화,제이슨 휠러,N,Y,STATIZ 신인지명 2018 한화와 일치(G=19),STATIZ 확인
2018,한화,데이비드 헤일,N,Y,STATIZ 신인지명 2018 한화와 일치(G=12),STATIZ 확인
2018,NC,로건 베렛,N,Y,,위키백과 팀 문서
2018,NC,왕웨이중,N,Y,대만 국적,위키백과 팀 문서
2018,SK,앙헬 산체스,N,Y,,위키백과 팀 문서
2019,삼성,덱 맥과이어,N,Y,8월 방출,위키백과 팀 문서
2019,삼성,저스틴 헤일리,N,Y,STATIZ 신인지명 2019 삼성과 일치(G=19); 7월 방출,STATIZ 확인
2019,삼성,벤 라이블리,N,Y,,위키백과 팀 문서
2019,LG,케이시 켈리,N,Y,,위키백과 팀 문서
2019,KIA,제이콥 터너,N,Y,,위키백과 팀 문서
2019,KIA,조 윌랜드,N,Y,,위키백과 팀 문서
2019,롯데,제이크 톰슨,N,Y,,위키백과 팀 문서
2019,롯데,브록 다익손,N,Y,,위키백과 팀 문서
2019,한화,워릭 서폴드,N,Y,,위키백과 팀 문서
2019,한화,채드 벨,N,Y,,위키백과 팀 문서
2019,NC,드류 루친스키,N,Y,,위키백과 팀 문서
2019,NC,에디 버틀러,N,Y,,위키백과 팀 문서
2019,NC,크리스천 프리드릭,Y,Y,대체 영입,위키백과 팀 문서
2019,kt,윌리엄 쿠에바스,N,Y,,위키백과 팀 문서
2019,kt,라울 알칸타라,N,Y,,위키백과 팀 문서
2019,키움,에릭 요키시,N,Y,,위키백과 팀 문서
2020,두산,크리스 플렉센,N,Y,,WebSearch 교차확인
2020,삼성,데이비드 뷰캐넌,N,Y,,위키백과 팀 문서
2020,KIA,애런 브룩스,N,Y,,위키백과 팀 문서
2020,KIA,드류 가뇽,N,Y,,위키백과 팀 문서
2020,롯데,댄 스트레일리,N,Y,,위키백과 팀 문서
2020,롯데,애드리안 샘슨,N,Y,,위키백과 팀 문서
2020,NC,마이크 라이트,N,Y,,위키백과 팀 문서
2020,kt,오드리사머 데스파이네,N,Y,,위키백과 팀 문서
2020,SK,닉 킹엄,N,Y,2경기 등판 후 부상으로 7/2 방출,뉴스 기사
2020,SK,리카르도 핀토,N,Y,,위키백과 문서
2020,SK,타일러 화이트,Y,Y,킹엄 대체 7/2 영입,뉴스 기사
2021,두산,아리엘 미란다,N,Y,,위키백과 팀 문서
2021,두산,워커 로켓,N,Y,,위키백과 팀 문서
2021,LG,앤드류 수아레즈,N,Y,,위키백과 팀 문서
2021,KIA,대니얼 멩덴,N,Y,,틀:2021년 KBO 리그 외국인 선수
2021,KIA,보 다카하시,Y,Y,대체 영입,틀:2021년 KBO 리그 외국인 선수
2021,롯데,앤더슨 프랑코,N,Y,,위키백과 팀 문서
2021,한화,라이언 카펜터,N,Y,,틀:2021년 KBO 리그 외국인 선수
2021,NC,웨스 파슨스,N,Y,위키 원문 '퇴출' 표기이나 실제로는 재계약되어 2022년까지 활동(원문 오류 가능성),위키백과+나무위키 교차확인
