선수명,연도,팀,release_date,outcome_category,resigned_next_year,resigned_as_asia_quota
크리스 볼스테드,2014,두산,2014-07-12,조기방출,N,
유네스키 마야,2014,두산,,완주-재계약됨(일반슬롯),Y,N
J.D. 마틴,2014,삼성,,완주-재계약안됨,N,
코리 리오단,2014,LG,,완주-재계약안됨,N,
에버렛 티포드,2014,LG,,완주-재계약안됨,N,
하이로 어센시오,2014,KIA,,완주-재계약안됨,N,
저스틴 토마스,2014,KIA,,완주-재계약안됨,N,
케일럽 클레이,2014,한화,2014-06-11,조기방출,N,
앤드루 앨버스,2014,한화,,완주-재계약안됨,N,
라이언 타투스코,2014,한화,,완주-재계약안됨,N,
테드 웨버,2014,NC,,완주-재계약안됨,N,
트레비스 밴와트,2014,SK,,완주-재계약됨(일반슬롯),Y,N
로스 울프,2014,SK,,완주-재계약안됨,N,
앤서니 스와잭,2015,두산,,완주-재계약안됨,N,
타일러 클로이드,2015,삼성,,완주-재계약안됨,N,
알프레도 피가로,2015,삼성,,완주-재계약안됨,N,
루카스 하렐,2015,LG,,완주-재계약안됨,N,
조쉬 스틴슨,2015,KIA,,완주-재계약안됨,N,
에반 믹,2015,KIA,,완주-재계약안됨,N,
브룩스 레일리,2015,롯데,,완주-재계약됨(일반슬롯),Y,N
조쉬 린드블럼,2015,롯데,,완주-재계약됨(일반슬롯),Y,N
에스밀 로저스,2015,한화,,완주-재계약됨(일반슬롯),Y,N
재크 스튜어트,2015,NC,,완주-재계약됨(일반슬롯),Y,N
앤드루 시스코,2015,kt,2015-05-27,조기방출,N,
필 어윈,2015,kt,2015-06-27,조기방출,N,
메릴 켈리,2015,SK,,완주-재계약됨(일반슬롯),Y,N
콜린 벨레스터,2016,삼성,2016-05-17,조기방출,N,
앨런 웹스터,2016,삼성,2016-07-11,조기방출,N,
아놀드 레온,2016,삼성,,완주-재계약안됨,N,
요한 플란데,2016,삼성,,완주-재계약안됨,N,
데이비드 허프,2016,LG,,완주-재계약됨(일반슬롯),Y,N
헥터 노에시,2016,KIA,,완주-재계약됨(일반슬롯),Y,N
지크 스프루일,2016,KIA,,완주-재계약안됨,N,
알렉산드로 마에스트리,2016,한화,2016-06-20,조기방출,N,
파비오 카스티요,2016,한화,,완주-재계약안됨,N,
에릭 서캠프,2016,한화,,완주-재계약안됨,N,
슈가 마리몬,2016,kt,,완주-재계약안됨,N,
요한 피노,2016,kt,2016-07-24,조기방출,N,
조쉬 로위,2016,kt,,완주-재계약안됨,N,
브라울리오 라라,2016,SK,,완주-재계약안됨,N,
로버트 코엘로,2016,넥센,2016-06-16,조기방출,N,
스콧 맥그레거,2016,넥센,,완주-재계약안됨,N,
재크 페트릭,2017,삼성,,완주-재계약안됨,N,
앤서니 레나도,2017,삼성,,완주-재계약안됨,N,
팻 딘,2017,KIA,,완주-재계약됨(일반슬롯),Y,N
파커 마켈,2017,롯데,,분류제외(kbo_no_appearance),,
닉 애디튼,2017,롯데,2017-07-12,조기방출,N,
제프 맨쉽,2017,NC,,완주-재계약안됨,N,
돈 로치,2017,kt,,완주-재계약안됨,N,
스캇 다이아몬드,2017,SK,,완주-재계약안됨,N,
션 오설리반,2017,넥센,2017-05-03,조기방출,N,
제이크 브리검,2017,넥센,,완주-재계약됨(일반슬롯),Y,N
세스 프랭코프,2018,두산,,완주-재계약됨(일반슬롯),Y,N
팀 아델만,2018,삼성,,완주-재계약안됨,N,
리살베르토 보니야,2018,삼성,,완주-재계약안됨,N,
타일러 윌슨,2018,LG,,완주-재계약됨(일반슬롯),Y,N
펠릭스 듀브론트,2018,롯데,2018-09-12,조기방출,N,
키버스 샘슨,2018,한화,,완주-재계약안됨,N,
제이슨 휠러,2018,한화,,완주-재계약안됨,N,
데이비드 헤일,2018,한화,,완주-재계약안됨,N,
로건 베렛,2018,NC,,완주-재계약안됨,N,
왕웨이중,2018,NC,,완주-재계약안됨,N,
앙헬 산체스,2018,SK,,완주-재계약됨(일반슬롯),Y,N
덱 맥과이어,2019,삼성,2019-08-08,조기방출,N,
저스틴 헤일리,2019,삼성,2019-07-22,조기방출,N,
벤 라이블리,2019,삼성,,완주-재계약됨(일반슬롯),Y,N
케이시 켈리,2019,LG,,완주-재계약됨(일반슬롯),Y,N
제이콥 터너,2019,KIA,,완주-재계약안됨,N,
조 윌랜드,2019,KIA,,완주-재계약안됨,N,
제이크 톰슨,2019,롯데,2019-06-09,조기방출,N,
브록 다익손,2019,SK,2019-06-03,조기방출,N,
워릭 서폴드,2019,한화,,완주-재계약됨(일반슬롯),Y,N
채드 벨,2019,한화,,완주-재계약됨(일반슬롯),Y,N
드류 루친스키,2019,NC,,완주-재계약됨(일반슬롯),Y,N
에디 버틀러,2019,NC,2019-07-03,조기방출,N,
크리스천 프리드릭,2019,NC,,완주-재계약안됨,N,
윌리엄 쿠에바스,2019,kt,,완주-재계약됨(일반슬롯),Y,N
라울 알칸타라,2019,kt,,완주-재계약됨(일반슬롯),Y,N
에릭 요키시,2019,키움,,완주-재계약됨(일반슬롯),Y,N
크리스 플렉센,2020,두산,,완주-재계약안됨,N,
데이비드 뷰캐넌,2020,삼성,,완주-재계약됨(일반슬롯),Y,N
애런 브룩스,2020,KIA,,완주-재계약됨(일반슬롯),Y,N
드류 가뇽,2020,KIA,,완주-재계약안됨,N,
댄 스트레일리,2020,롯데,,완주-재계약됨(일반슬롯),Y,N
애드리안 샘슨,2020,롯데,,완주-재계약안됨,N,
마이크 라이트,2020,NC,,완주-재계약안됨,N,
오드리사머 데스파이네,2020,kt,,완주-재계약됨(일반슬롯),Y,N
닉 킹엄,2020,SK,2020-07-02,조기방출,Y,N
리카르도 핀토,2020,SK,,완주-재계약안됨,N,
아리엘 미란다,2021,두산,,완주-재계약됨(일반슬롯),Y,N
워커 로켓,2021,두산,,완주-재계약안됨,N,
앤드류 수아레즈,2021,LG,,완주-재계약안됨,N,
대니얼 멩덴,2021,KIA,,완주-재계약안됨,N,
보 다카하시,2021,KIA,,완주-재계약안됨,N,
앤더슨 프랑코,2021,롯데,,완주-재계약안됨,N,
라이언 카펜터,2021,한화,,완주-재계약됨(일반슬롯),Y,N
웨스 파슨스,2021,NC,,완주-재계약됨(일반슬롯),Y,N
윌머 폰트,2021,SSG,,완주-재계약됨(일반슬롯),Y,N
아티 르위키,2021,SSG,2021-06-05,조기방출,N,
샘 가빌리오,2021,SSG,,완주-재계약안됨,N,
조시 스미스,2021,키움,2021-04-15,조기방출,N,
로버트 스탁,2022,두산,,완주-재계약안됨,N,
브랜던 워델,2022,두산,,완주-재계약됨(일반슬롯),Y,N
앨버트 수아레즈,2022,삼성,,완주-재계약됨(일반슬롯),Y,N
로니 윌리엄스,2022,KIA,2022-06-28,조기방출,N,
션 놀린,2022,KIA,,완주-재계약안됨,N,
토마스 파노니,2022,KIA,,완주-재계약됨(일반슬롯),Y,N
찰리 반스,2022,롯데,,완주-재계약됨(일반슬롯),Y,N
글렌 스파크맨,2022,롯데,2022-07-31,조기방출,N,
예프리 라미레즈,2022,한화,,완주-재계약안됨,N,
펠릭스 페냐,2022,한화,,완주-재계약됨(일반슬롯),Y,N
맷 더모디,2022,NC,,완주-재계약안됨,N,
웨스 벤자민,2022,kt,,완주-재계약됨(일반슬롯),Y,N
이반 노바,2022,SSG,2022-07-12,조기방출,N,
숀 모리만도,2022,SSG,,완주-재계약안됨,N,
타일러 애플러,2022,키움,,완주-재계약안됨,N,
딜런 파일,2023,두산,2023-06-08,조기방출,N,
테일러 와이드너,2023,NC,2023-08-04,조기방출,N,
아도니스 메디나,2023,KIA,2023-07-04,조기방출,N,
숀 앤더슨,2023,KIA,2023-07-06,조기방출,N,
마리오 산체스,2023,KIA,,완주-재계약안됨,N,
애런 윌커슨,2023,롯데,,완주-재계약됨(일반슬롯),Y,N
버치 스미스,2023,한화,2023-04-30,조기방출,N,
리카르도 산체스,2023,한화,,완주-재계약됨(일반슬롯),Y,N
에릭 페디,2023,NC,,완주-재계약안됨,N,
태너 털리,2023,NC,,완주-재계약안됨,N,
보 슐서,2023,kt,2023-06-09,조기방출,N,
커크 맥카티,2023,SSG,,완주-재계약안됨,N,
에니 로메로,2023,SSG,,분류제외(kbo_no_appearance),,
로에니스 엘리아스,2023,SSG,,완주-재계약됨(일반슬롯),Y,N
아리엘 후라도,2023,키움,,완주-재계약됨(일반슬롯),Y,N
이안 맥키니,2023,키움,,완주-재계약안됨,N,
시라카와 케이쇼,2024,SSG,2024-07-03,조기방출,N,
조던 발라조빅,2024,두산,,완주-재계약안됨,N,
코너 시볼드,2024,삼성,,완주-재계약안됨,N,
데니 레예스,2024,삼성,,완주-재계약됨(일반슬롯),Y,N
