선수명,english_name,mlb_person_id,last_pre_kbo_mlb_season,statcast_metrics_available,n_pitch_types_recorded
크리스 볼스테드,Christopher Kenneth Volstad,458690,2013,none,0
유네스키 마야,Yunieski Maya,493337,2013,none,0
J.D. 마틴,John Dale Martin,455605,2010,none,0
코리 리오단,Cory S. Riordan,,,none,0
에버렛 티포드,Everett James Teaford,501870,2013,none,0
하이로 어센시오,Jairo Manuel Asencio,446003,2013,none,0
저스틴 토마스,Justin Joseph Thomas,476206,2012,none,0
케일럽 클레이,Caleb Russell Clay,,,none,0
앤드루 앨버스,Andrew ALBERS,452027,2013,none,0
라이언 타투스코,Ryan Tatusko,,,none,0
테드 웨버,Thad G. Weber,519403,2013,none,0
트레비스 밴와트,Travis Banwart,,,none,0
로스 울프,Ross Wolf,448693,2013,none,0
앤서니 스와잭,Anthony Swarzak,461872,2014,none,0
타일러 클로이드,Tyler Cloyd,543031,2013,none,0
알프레도 피가로,Alfredo Figaro,451628,2014,none,0
루카스 하렐,Lucas Harrell,449173,2014,none,0
조쉬 스틴슨,Joshua Randall Stinson,502139,2014,none,0
에반 믹,Evan David Meek,457425,2014,none,0
브룩스 레일리,Brooks Raley,548384,2013,none,0
조쉬 린드블럼,Joshua William Josh Lindblom,458676,2014,none,0
에스밀 로저스,Esmil Rogers,469134,2014,none,0
재크 스튜어트,Zachary Robert Stewart,543819,2012,none,0
앤드루 시스코,Andrew Sisco,434878,2007,none,0
필 어윈,Phil Irwin,572947,2014,none,0
메릴 켈리,Merrill Kelly,,,none,0
콜린 벨레스터,Collin Thomas Balester,444446,2015,velo_only,4
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,5
아놀드 레온,Arnold Leon,504186,2015,velo_only,4
요한 플란데,Yohan Flande,456071,2015,velo_only,4
데이비드 허프,David Gregory Huff,453307,2015,velo_only,4
헥터 노에시,Hector Noesi,456051,2015,velo_only,5
지크 스프루일,Ezekiel Stephen Zeke Spruill,543809,2014,none,0
알렉산드로 마에스트리,Alessandro Maestri,,,none,0
파비오 카스티요,Fabio Castillo,,,none,0
에릭 서캠프,Eric M. Surkamp,474668,2015,velo_only,4
슈가 마리몬,Sugar Ray Marimon,516970,2015,velo_only,4
요한 피노,Yohan Pino,464416,2015,velo_only,5
조쉬 로위,Josh Lowey,,,none,0
브라울리오 라라,Braulio Lara,,,none,0
로버트 코엘로,Robert Coello,445193,2013,none,0
스콧 맥그레거,Scott McGregor,,,none,0
재크 페트릭,Zachary Bernard Petrick,,,none,0
앤서니 레나도,Anthony Ranaudo,519168,2016,velo_only,4
팻 딘,Patrick Michael Dean,534737,2016,velo_only,4
파커 마켈,,,,none,0
닉 애디튼,Nick Additon,,,none,0
제프 맨쉽,Jeff Manship,453249,2016,velo_only,4
돈 로치,Donn Roach,543698,2016,velo_only,2
스캇 다이아몬드,Scott Michael Diamond,539438,2016,velo_only,3
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,5
제이크 브리검,Jake Brigham,502010,2015,velo_only,5
세스 프랭코프,Seth Frankoff,571676,2017,full,3
팀 아델만,Timothy Max Adleman,534947,2017,full,4
리살베르토 보니야,Lisalverto Bonilla,570810,2017,full,4
타일러 윌슨,Tylor Wilson,592869,2017,full,5
펠릭스 듀브론트,Felix Antonio Doubront,467094,2015,velo_only,5
키버스 샘슨,Keyvius Sampson,572102,2016,velo_only,4
제이슨 휠러,Jason Wheeler,605528,2017,full,4
데이비드 헤일,David E. Hale,571735,2016,velo_only,4
로건 베렛,Scott Logan Verrett,548337,2017,full,5
왕웨이중,Wei-Chung Wang,623913,2017,full,4
앙헬 산체스,Angel Luis Sanchez,605795,2017,full,4
덱 맥과이어,William Deck McGuire,592547,2018,full,5
저스틴 헤일리,Justin Case Haley,595234,2018,full,4
벤 라이블리,Bennett Lively,594902,2018,full,5
케이시 켈리,Casey Patrick Kelly,543391,2018,full,5
제이콥 터너,Jacob Turner,545363,2018,full,4
조 윌랜드,Joseph Andrew Wieland,543921,2016,velo_only,3
제이크 톰슨,Jake Thompson,622097,2018,full,4
브록 다익손,Brock D. Dykxhoorn,,,none,0
워릭 서폴드,Warwick Anthony Saupold,599683,2018,full,4
채드 벨,Chadwick Micah Bell,518445,2018,full,5
드류 루친스키,Andrew James Rucinski,607968,2018,full,6
에디 버틀러,Timothy Edward Butler,572750,2018,full,5
크리스천 프리드릭,Christian Louis Patrick Friedrich,543184,2016,velo_only,5
윌리엄 쿠에바스,William Cuevas,571035,2018,full,5
라울 알칸타라,Raul Alcántara,593417,2017,full,5
에릭 요키시,Eric Spenser Jokisch,518852,2014,none,0
크리스 플렉센,Chris Flexen,623167,2019,full,5
데이비드 뷰캐넌,David Andrew Buchanan,571527,2015,velo_only,5
애런 브룩스,Aaron Lee Brooks,605156,2019,full,5
드류 가뇽,Andrew M. Drew Gagnon,543193,2019,full,4
댄 스트레일리,Dan Straily,573185,2019,full,5
애드리안 샘슨,Adrian Sampson,592716,2019,full,3
마이크 라이트,Mike Wright,605541,2019,full,5
오드리사머 데스파이네,Odrisamer Despaigne,628333,2019,full,6
닉 킹엄,Nick Kingham,592468,2019,full,6
리카르도 핀토,Ricardo Pinto,620982,2019,full,2
아리엘 미란다,Ariel Miranda,664641,2018,full,4
워커 로켓,Andrew Walker Lockett,621141,2020,full,5
앤드류 수아레즈,Andrew Jose Suarez,605498,2020,full,4
대니얼 멩덴,Daniel Joseph Mengden,596043,2020,full,4
보 다카하시,Rodrigo Hitoshi Bo Takahashi,,,none,0
앤더슨 프랑코,Enderson Daniel Franco,575070,2019,full,4
라이언 카펜터,Ryan Nicholas Carpenter,543001,2019,full,5
웨스 파슨스,Wes Parsons,641149,2019,full,4
윌머 폰트,Wilmer Font,521655,2020,full,5
아티 르위키,Artie Michael Lewicki,592499,2020,full,3
샘 가빌리오,Samuel Joseph Gaviglio,543208,2020,full,4
조시 스미스,Josh A. Smith,595001,2020,full,5
로버트 스탁,Robert Anthony Stock,476594,2021,full,4
브랜던 워델,Brandon David Waddell,663399,2021,full,4
앨버트 수아레즈,Albert Joe Suárez,544150,2017,full,5
로니 윌리엄스,Ronnie Ellis Williams,,,none,0
션 놀린,Sean Patrick Nolin,543594,2021,full,5
토마스 파노니,Thomas Pannone,623381,2019,full,4
찰리 반스,Charlie Barnes,656212,2021,full,4
글렌 스파크맨,Glenn Sparkman,642098,2020,full,3
예프리 라미레즈,Yefry Ramirez,606162,2021,full,3
펠릭스 페냐,Félix Ricardo Peña,570240,2021,full,4
맷 더모디,Matt Dermody,571616,2020,full,2
웨스 벤자민,Wes Benjamin,605138,2021,full,5
이반 노바,Iván Nova,467100,2020,full,4
숀 모리만도,Shawn Morimando,596049,2021,full,4
타일러 애플러,Tyler Austin Eppler,,,none,0
딜런 파일,Dylan Michael File,,,none,0
테일러 와이드너,Taylor Browning Widener,642203,2022,full,4
