선수명,english_name,mlb_person_id,savant_season,statcast_metrics_available,pitch_type,pitch_name,pitch_usage_pct,avg_velocity,whiff_pct,run_value_per_100,pitches
콜린 벨레스터,Collin Thomas Balester,444446,2015,velo_only,FF,,,92.5,,,
콜린 벨레스터,Collin Thomas Balester,444446,2015,velo_only,SI,,,92.9,,,
콜린 벨레스터,Collin Thomas Balester,444446,2015,velo_only,CH,,,85.2,,,
콜린 벨레스터,Collin Thomas Balester,444446,2015,velo_only,CU,,,77.8,,,
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,FF,,,92,,,
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,SI,,,92.1,,,
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,SL,,,85.9,,,
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,CH,,,84.3,,,
앨런 웹스터,Carl Allen Webster,543903,2015,velo_only,CU,,,77.4,,,
아놀드 레온,Arnold Leon,504186,2015,velo_only,FF,,,92.3,,,
아놀드 레온,Arnold Leon,504186,2015,velo_only,SL,,,85.1,,,
아놀드 레온,Arnold Leon,504186,2015,velo_only,CH,,,82,,,
아놀드 레온,Arnold Leon,504186,2015,velo_only,CU,,,73.7,,,
요한 플란데,Yohan Flande,456071,2015,velo_only,FF,,,91.3,,,
요한 플란데,Yohan Flande,456071,2015,velo_only,SI,,,91.3,,,
요한 플란데,Yohan Flande,456071,2015,velo_only,SL,,,85.5,,,
요한 플란데,Yohan Flande,456071,2015,velo_only,CH,,,85.8,,,
데이비드 허프,David Gregory Huff,453307,2015,velo_only,FF,,,92.3,,,
데이비드 허프,David Gregory Huff,453307,2015,velo_only,FC,,,89.8,,,
데이비드 허프,David Gregory Huff,453307,2015,velo_only,SL,,,80.9,,,
데이비드 허프,David Gregory Huff,453307,2015,velo_only,CH,,,83.3,,,
헥터 노에시,Hector Noesi,456051,2015,velo_only,FF,,,93.8,,,
헥터 노에시,Hector Noesi,456051,2015,velo_only,SI,,,93.8,,,
헥터 노에시,Hector Noesi,456051,2015,velo_only,SL,,,89.7,,,
헥터 노에시,Hector Noesi,456051,2015,velo_only,CH,,,87.5,,,
헥터 노에시,Hector Noesi,456051,2015,velo_only,CU,,,81.6,,,
에릭 서캠프,Eric M. Surkamp,474668,2015,velo_only,FF,,,88.4,,,
에릭 서캠프,Eric M. Surkamp,474668,2015,velo_only,SI,,,87.7,,,
에릭 서캠프,Eric M. Surkamp,474668,2015,velo_only,CH,,,80.5,,,
에릭 서캠프,Eric M. Surkamp,474668,2015,velo_only,CU,,,78.1,,,
슈가 마리몬,Sugar Ray Marimon,516970,2015,velo_only,FF,,,91.8,,,
슈가 마리몬,Sugar Ray Marimon,516970,2015,velo_only,SI,,,92,,,
슈가 마리몬,Sugar Ray Marimon,516970,2015,velo_only,CH,,,82.6,,,
슈가 마리몬,Sugar Ray Marimon,516970,2015,velo_only,CU,,,79.9,,,
요한 피노,Yohan Pino,464416,2015,velo_only,FF,,,89.8,,,
요한 피노,Yohan Pino,464416,2015,velo_only,SI,,,88.3,,,
요한 피노,Yohan Pino,464416,2015,velo_only,SL,,,83,,,
요한 피노,Yohan Pino,464416,2015,velo_only,CH,,,83.1,,,
요한 피노,Yohan Pino,464416,2015,velo_only,CU,,,74.2,,,
앤서니 레나도,Anthony Ranaudo,519168,2016,velo_only,FF,,,91.6,,,
앤서니 레나도,Anthony Ranaudo,519168,2016,velo_only,SL,,,83.8,,,
앤서니 레나도,Anthony Ranaudo,519168,2016,velo_only,CH,,,85,,,
앤서니 레나도,Anthony Ranaudo,519168,2016,velo_only,CU,,,80.4,,,
팻 딘,Patrick Michael Dean,534737,2016,velo_only,FF,,,90.1,,,
팻 딘,Patrick Michael Dean,534737,2016,velo_only,SL,,,85.8,,,
팻 딘,Patrick Michael Dean,534737,2016,velo_only,CH,,,85.1,,,
팻 딘,Patrick Michael Dean,534737,2016,velo_only,CU,,,77.1,,,
제프 맨쉽,Jeff Manship,453249,2016,velo_only,FF,,,91.4,,,
제프 맨쉽,Jeff Manship,453249,2016,velo_only,SI,,,91.5,,,
제프 맨쉽,Jeff Manship,453249,2016,velo_only,CH,,,86.6,,,
제프 맨쉽,Jeff Manship,453249,2016,velo_only,CU,,,83.6,,,
돈 로치,Donn Roach,543698,2016,velo_only,SI,,,92.3,,,
돈 로치,Donn Roach,543698,2016,velo_only,CU,,,78.4,,,
스캇 다이아몬드,Scott Michael Diamond,539438,2016,velo_only,FF,,,89.1,,,
스캇 다이아몬드,Scott Michael Diamond,539438,2016,velo_only,CH,,,84.3,,,
스캇 다이아몬드,Scott Michael Diamond,539438,2016,velo_only,CU,,,77.9,,,
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,FF,,,91.4,,,
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,SI,,,90.1,,,
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,SL,,,81.8,,,
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,CH,,,82.8,,,
션 오설리반,Sean Daniel O'Sullivan,457711,2016,velo_only,CU,,,73.8,,,
제이크 브리검,Jake Brigham,502010,2015,velo_only,FF,,,92.3,,,
제이크 브리검,Jake Brigham,502010,2015,velo_only,SI,,,91.6,,,
제이크 브리검,Jake Brigham,502010,2015,velo_only,SL,,,85.3,,,
제이크 브리검,Jake Brigham,502010,2015,velo_only,CH,,,85.3,,,
제이크 브리검,Jake Brigham,502010,2015,velo_only,CU,,,78.1,,,
세스 프랭코프,Seth Frankoff,571676,2017,full,SI,Sinker,48.6,91.5,16.7,-4.7,18
세스 프랭코프,Seth Frankoff,571676,2017,full,CU,Curveball,13.5,77.5,0,-7.1,5
