선수명,english_name,birth_date,throws,nationality
크리스 볼스테드,Christopher Kenneth Volstad,1986-09-23,R,
유네스키 마야,Yunieski Maya,1981-08-28,R,
J.D. 마틴,John Dale Martin,1983-01-02,R,
코리 리오단,Cory S. Riordan,1986-05-25,R,
에버렛 티포드,Everett James Teaford,1984-05-15,L,
하이로 어센시오,Jairo Manuel Asencio,1983-05-30,R,
저스틴 토마스,Justin Joseph Thomas,1984-01-18,L,
케일럽 클레이,Caleb Russell Clay,1988-02-15,R,
앤드루 앨버스,Andrew ALBERS,1985-10-06,L,
라이언 타투스코,Ryan Tatusko,1985-03-27,R,
테드 웨버,Thad G. Weber,1984-09-28,R,
트레비스 밴와트,Travis Banwart,1986-02-14,R,
로스 울프,Ross Wolf,1982-10-18,R,
앤서니 스와잭,Anthony Swarzak,1985-09-10,R,
타일러 클로이드,Tyler Cloyd,1987-05-16,R,
알프레도 피가로,Alfredo Figaro,1984-07-07,R,
루카스 하렐,Lucas Harrell,1985-06-03,R,
조쉬 스틴슨,Joshua Randall Stinson,1988-03-14,R,
에반 믹,Evan David Meek,1983-05-12,R,
브룩스 레일리,Brooks Raley,1988-06-29,L,
조쉬 린드블럼,Joshua William Josh Lindblom,1987-06-15,R,
에스밀 로저스,Esmil Rogers,1985-08-14,R,
재크 스튜어트,Zachary Robert Stewart,1986-09-28,R,
앤드루 시스코,Andrew Sisco,1983-01-13,L,
필 어윈,Phil Irwin,1987-02-25,R,
메릴 켈리,Merrill Kelly,1988-10-14,R,
콜린 벨레스터,Collin Thomas Balester,1986-06-06,R,
앨런 웹스터,Carl Allen Webster,1990-02-10,R,
아놀드 레온,Arnold Leon,1988-09-06,R,
요한 플란데,Yohan Flande,1986-01-27,L,
데이비드 허프,David Gregory Huff,1984-08-22,L,
헥터 노에시,Hector Noesi,1987-01-26,R,
지크 스프루일,Ezekiel Stephen Zeke Spruill,1989-09-11,R,
알렉산드로 마에스트리,Alessandro Maestri,1985-07-01,R,
파비오 카스티요,Fabio Castillo,1989-02-19,R,
에릭 서캠프,Eric M. Surkamp,1987-07-16,L,
슈가 마리몬,Sugar Ray Marimon,1988-09-30,R,
요한 피노,Yohan Pino,1983-12-26,R,
