선수명,english_name,birth_date_statiz,wiki_exists,birth_date_match,league_separated,asia_league_experience,asia_league_detail,needs_review,review_reason
알프레도 피가로,Alfredo Figaro,1984-07-07,Y,Y,Y,Y,NPB Orix Buffaloes 2011-2012 (KBO 입단 이전),N,
에릭 요키시,Eric Spenser Jokisch,1989-07-29,Y,Y,Y,N,,N,
라이언 와이스,Ryan Weiss,1996-12-10,Y,Y,Y,Y,CPBL Fubon Guardians 2023 (KBO 입단 이전),N,
채드 벨,Chadwick Micah Bell,1989-02-28,Y,Y,Y,N,,N,
대니얼 멩덴,Daniel Joseph Mengden,1993-02-19,Y,Y,Y,N,,N,CPBL CTBC Brothers 2024-2025 경력 있으나 KBO(2021) 이후라 '이전' 정의상 제외
재크 스튜어트,Zachary Robert Stewart,1986-09-28,Y,Y,Y,N,,N,
에니 로메로,Enny Romero,,Y,UNKNOWN,Y,Y,"NPB Chunichi Dragons 2019-2020, Chiba Lotte Marines 2021-2022 (KBO 입단 이전) — 단 STATIZ 생년월일 부재로 생년월일 교차검증 불가, 팀/연도/부상 스토리 정황 근거만으로 확정",N,사용자 검토 후 Y로 확정(2026-08-15)
스콧 맥그레거,Scott McGregor,1986-12-19,Y,Y,Y,N,,N,CPBL Fubon Guardians 2017 경력 있으나 KBO(2016) 이후라 '이전' 정의상 제외
아티 르위키,Artie Michael Lewicki,1992-04-08,Y,Y,Y,N,,N,
슈가 마리몬,Sugar Ray Marimon,1988-09-30,Y,Y,Y,N,,N,
코디 폰세,Cody Ponce,1994-04-25,Y,Y,Y,Y,"NPB Nippon-Ham Fighters 2022-2023, Rakuten Golden Eagles 2024 (KBO 입단 이전)",N,
데이비드 뷰캐넌,David Andrew Buchanan,1989-05-11,Y,Y,Y,Y,NPB Tokyo Yakult Swallows 2017-2019 (KBO 입단 이전),N,
코리 리오단,Cory S. Riordan,1986-05-25,Y,Y,Y,N,,N,CPBL Lamigo Monkeys 2015/Fubon Guardians 2017 경력 있으나 KBO(2014) 이후라 '이전' 정의상 제외
조 윌랜드,Joseph Andrew Wieland,1990-01-21,Y,Y,Y,Y,NPB Yokohama DeNA BayStars 2017-2018 (KBO 입단 이전),N,
헥터 노에시,Hector Noesi,1987-01-26,Y,Y,Y,N,,N,CPBL Fubon Guardians 2021 경력 있으나 KBO(2016) 이후라 '이전' 정의상 제외
크리스 볼스테드,Christopher Kenneth Volstad,1986-09-23,Y,Y,Y,N,,N,
유네스키 마야,Yunieski Maya,1981-08-28,Y,Y,Y,N,,N,위키 표기는 Yunesky Maya(스펠링 변형)이나 생년월일·경력 일치로 동일인 확인
J.D. 마틴,John Dale Martin,1983-01-02,Y,Y,Y,N,,N,
에버렛 티포드,Everett James Teaford,1984-05-15,Y,Y,Y,N,,N,
하이로 어센시오,Jairo Manuel Asencio,1983-05-30,Y,Y,Y,N,,N,
저스틴 토마스,Justin Joseph Thomas,1984-01-18,Y,Y,Y,Y,NPB Nippon-Ham Fighters 2013 (KBO 입단 이전),N,CPBL Uni-President Lions 2015 경력도 있으나 KBO(2014) 이후라 제외
케일럽 클레이,Caleb Russell Clay,1988-02-15,Y,Y,Y,N,,N,
앤드루 앨버스,Andrew ALBERS,1985-10-06,Y,Y,Y,N,,N,
라이언 타투스코,Ryan Tatusko,1985-03-27,Y,Y,Y,N,,N,
테드 웨버,Thad G. Weber,1984-09-28,Y,Y,Y,N,,N,
트레비스 밴와트,Travis Banwart,1986-02-14,Y,Y,Y,N,,N,
로스 울프,Ross Wolf,1982-10-18,Y,Y,Y,N,,N,
앤서니 스와잭,Anthony Swarzak,1985-09-10,Y,Y,Y,N,,N,
타일러 클로이드,Tyler Cloyd,1987-05-16,Y,Y,Y,N,,N,
루카스 하렐,Lucas Harrell,1985-06-03,Y,Y,Y,N,,N,
조쉬 스틴슨,Joshua Randall Stinson,1988-03-14,Y,Y,Y,N,,N,
에반 믹,Evan David Meek,1983-05-12,Y,Y,Y,N,,N,
브룩스 레일리,Brooks Raley,1988-06-29,Y,Y,Y,N,,N,
조쉬 린드블럼,Joshua William Josh Lindblom,1987-06-15,Y,Y,Y,N,,N,
에스밀 로저스,Esmil Rogers,1985-08-14,Y,Y,Y,N,,N,
앤드루 시스코,Andrew Sisco,1983-01-13,Y,Y,Y,Y,CPBL EDA Rhinos 2013-2014 (KBO 입단 이전),N,이후 EDA Rhinos 2015-16/Chinatrust Brothers 2016 경력도 있으나 KBO 이후라 제외
필 어윈,Phil Irwin,1987-02-25,Y,Y,Y,N,,N,
메릴 켈리,Merrill Kelly,1988-10-14,Y,Y,Y,N,,N,
콜린 벨레스터,Collin Thomas Balester,1986-06-06,Y,Y,Y,N,,N,
앨런 웹스터,Carl Allen Webster,1990-02-10,Y,Y,Y,N,,N,
아놀드 레온,Arnold Leon,1988-09-06,Y,Y,Y,N,,N,
요한 플란데,Yohan Flande,1986-01-27,Y,Y,Y,N,,N,
데이비드 허프,David Gregory Huff,1984-08-22,Y,Y,Y,N,,N,NPB Tokyo Yakult Swallows 2018-2019 경력 있으나 KBO(2016) 이후라 제외
지크 스프루일,Ezekiel Stephen Zeke Spruill,1989-09-11,Y,Y,Y,N,,N,CPBL Lamigo Monkeys 2017 경력 있으나 KBO(2016) 이후라 제외
알렉산드로 마에스트리,Alessandro Maestri,1985-07-01,Y,N,Y,Y,NPB Orix Buffaloes 2012-2015 (KBO 입단 이전),N,사용자 검토 후 Y로 확정(2026-08-15) — 위키 생년월일(1985-06-01)과 STATIZ(1985-07-01) 월 불일치는 남아있으나 동일인으로 판단
파비오 카스티요,Fabio Castillo,1989-02-19,Y,Y,Y,N,,N,NPB Saitama Seibu Lions 2018 경력 있으나 KBO(2016) 이후라 제외
에릭 서캠프,Eric M. Surkamp,1987-07-16,Y,Y,Y,N,,N,
요한 피노,Yohan Pino,1983-12-26,Y,Y,Y,N,,N,
조쉬 로위,Josh Lowey,1984-12-26,Y,N,Y,N,,N,사용자 검토 후 동일인으로 확정(2026-08-15) — 단 위키 페이지 내 NPB/CPBL 등 아시아 리그 경력 자체가 없어(KBO kt Wiz 외 팀 이력 없음) asia_league_experience는 N. 생년월일 불일치(1984-12-16 vs 1984-12-26)는 남아있음
브라울리오 라라,Braulio Lara,1988-12-20,Y,Y,Y,N,,N,
로버트 코엘로,Robert Coello,1984-11-23,Y,Y,Y,N,,N,
재크 페트릭,Zachary Bernard Petrick,1989-07-29,Y,Y,Y,Y,NPB Yokohama DeNA BayStars 2016 (KBO 입단 이전),N,
앤서니 레나도,Anthony Ranaudo,1989-09-09,Y,Y,Y,N,,N,
팻 딘,Patrick Michael Dean,1989-05-25,Y,Y,Y,N,,N,
닉 애디튼,Nick Additon,1987-12-16,Y,Y,Y,Y,CPBL Chinatrust Brothers 2016 (KBO 입단 이전),N,
파커 마켈,Parker Markel,,Y,UNKNOWN,Y,N,,N,사용자 검토 후 N으로 확정(2026-08-15) — STATIZ 생년월일 부재로 교차검증은 불가하나 팀/연도/실전출전여부 스토리 정황 일치로 동일인 판단, 아시아 리그 경력 없음(N)
제프 맨쉽,Jeff Manship,1985-01-16,Y,Y,Y,N,,N,
돈 로치,Donn Roach,1989-12-14,Y,Y,Y,N,,N,NPB Orix Buffaloes 2018/CPBL Uni-President Lions 2020 경력 있으나 모두 KBO(2017) 이후라 제외
스캇 다이아몬드,Scott Michael Diamond,1986-07-30,Y,Y,Y,N,,N,
션 오설리반,Sean Daniel O'Sullivan,1987-09-01,Y,Y,Y,N,,N,
세스 프랭코프,Seth Frankoff,1988-08-27,Y,Y,Y,N,,N,
팀 아델만,Timothy Max Adleman,1987-11-13,Y,Y,Y,N,,N,
리살베르토 보니야,Lisalverto Bonilla,1990-06-18,Y,Y,Y,N,,N,CPBL Rakuten Monkeys 2020/Uni-President Lions 2021 경력 있으나 모두 KBO(2018) 이후라 제외
타일러 윌슨,Tylor Wilson,1989-09-25,Y,Y,Y,N,,N,
펠릭스 듀브론트,Felix Antonio Doubront,1987-10-23,Y,Y,Y,N,,N,
키버스 샘슨,Keyvius Sampson,1991-01-06,Y,Y,Y,N,,N,CPBL Uni-President Lions 2022-23/Fubon Guardians 2024 경력 있으나 모두 KBO(2018) 이후라 제외
제이슨 휠러,Jason Wheeler,1990-10-27,Y,Y,Y,N,,N,
데이비드 헤일,David E. Hale,1987-09-27,Y,Y,Y,N,,N,
로건 베렛,Scott Logan Verrett,1990-06-19,Y,Y,Y,N,,N,
왕웨이중,Wei-Chung Wang,1992-04-25,Y,Y,Y,N,,N,CPBL Wei Chuan Dragons 2021- 경력 있으나 KBO(2018) 이후라 제외
앙헬 산체스,Angel Luis Sanchez,1989-11-28,Y,Y,Y,N,,N,NPB Yomiuri Giants 2020-21/CPBL CTBC Brothers 2024 경력 있으나 모두 KBO(2018) 이후라 제외
덱 맥과이어,William Deck McGuire,1989-06-23,Y,Y,Y,N,,N,CPBL Rakuten Monkeys 2021 경력 있으나 KBO(2019) 이후라 제외
저스틴 헤일리,Justin Case Haley,1991-06-16,Y,Y,Y,N,,N,
벤 라이블리,Bennett Lively,1992-03-05,Y,Y,Y,N,,N,
케이시 켈리,Casey Patrick Kelly,1989-10-04,Y,Y,Y,N,,N,
제이콥 터너,Jacob Edward Turner,1992-05-21,Y,N,Y,N,,N,"타임라인 대조로 동일인 재검증 완료(2026-08-15): 위키의 MLB 경력(디트로이트 1라운드 지명, 타이거스/말린스/컵스/화이트삭스/내셔널스 순)과 KBO 데뷔(2019 KIA, 2019-03-24)가 STATIZ 기록과 정확히 일치. 아시아 리그 경력 없음(N). 단 생년월일 불일치(1991 vs 1992)는 미해결 — MLB Stats API 단계에서 재검증 필요"
제이크 톰슨,Jake Thompson,1994-01-31,Y,Y,Y,N,,N,
브록 다익손,Brock D. Dykxhoorn,1994-07-02,Y,Y,Y,N,,N,CPBL Uni-President Lions(현재 소속) 경력 있으나 KBO(2019) 이후라 제외
워릭 서폴드,Warwick Anthony Saupold,1990-01-16,Y,Y,Y,N,,N,
드류 루친스키,Andrew James Rucinski,1988-12-30,Y,Y,Y,N,,N,
에디 버틀러,Timothy Edward Butler,1991-03-13,Y,Y,Y,N,,N,
크리스천 프리드릭,Christian Louis Patrick Friedrich,1987-07-08,Y,Y,Y,N,,N,
윌리엄 쿠에바스,William Enrique Cuevas Osorio,1990-10-14,Y,Y,Y,N,,N,CPBL CTBC Brothers 2025(kt 방출 후 짧은 임시 소속) 경력 있으나 KBO(2019) 이후라 제외
라울 알칸타라,Raul Alcántara,1992-12-04,Y,Y,Y,N,,N,NPB Hanshin Tigers 2021-2022 경력 있으나 KBO(2019) 이후라 제외
크리스 플렉센,Chris Flexen,1994-07-01,Y,Y,Y,N,,N,
애런 브룩스,Aaron Lee Brooks,1990-04-27,Y,Y,Y,N,,N,
드류 가뇽,Andrew M. Drew Gagnon,1990-06-26,Y,Y,Y,N,,N,CPBL Wei Chuan Dragons 2021- 경력 있으나 KBO(2020) 이후라 제외
댄 스트레일리,Dan Straily,1988-12-01,Y,Y,Y,N,,N,
애드리안 샘슨,Adrian Sampson,1991-10-07,Y,Y,Y,N,,N,
마이크 라이트,Dennis Michael Mike Wright Jr.,1990-01-03,Y,Y,Y,N,,N,
오드리사머 데스파이네,Odrisamer Despaigne,1987-04-04,Y,Y,Y,N,,N,
닉 킹엄,Nick Kingham,1991-11-08,Y,Y,Y,N,,N,CPBL CTBC Brothers 2023 경력 있으나 KBO(2020) 이후라 제외
리카르도 핀토,Ricardo Pinto,1994-01-20,Y,Y,Y,N,,N,CPBL Rakuten Monkeys 2022 경력 있으나 KBO(2020) 이후라 제외
아리엘 미란다,Ariel Miranda,1989-01-10,Y,Y,Y,Y,"NPB Fukuoka SoftBank Hawks 2018-2019; CPBL Chinatrust Brothers 2020 (모두 KBO 입단 이전)",N,
워커 로켓,Andrew Walker Lockett,1994-05-03,Y,Y,Y,N,,N,
앤드류 수아레즈,Andrew Jose Suarez,1992-09-11,Y,Y,Y,N,,N,NPB Tokyo Yakult Swallows 2022 경력 있으나 KBO(2021) 이후라 제외
보 다카하시,Rodrigo Hitoshi Bo Takahashi,1997-01-23,Y,Y,Y,N,,N,NPB Saitama Seibu Lions 2022- 경력 있으나 KBO(2021) 이후라 제외
앤더슨 프랑코,Enderson Daniel Franco,1992-12-29,Y,Y,Y,N,,N,CPBL Fubon Guardians 2022-2025 경력 있으나 KBO(2021) 이후라 제외
라이언 카펜터,Ryan Nicholas Carpenter,1990-08-22,Y,Y,Y,Y,CPBL Rakuten Monkeys 2020 (KBO 입단 이전),N,
웨스 파슨스,Wes Parsons,1992-09-06,Y,Y,Y,N,,N,
윌머 폰트,Wilmer Font Gomez,1990-05-24,Y,Y,Y,N,,N,
샘 가빌리오,Samuel Joseph Gaviglio,1990-05-22,Y,Y,Y,N,,N,
조시 스미스,Joshua Allen Smith,1987-08-07,Y,Y,Y,N,,N,
로버트 스탁,Robert Anthony Stock,1989-11-21,Y,Y,Y,N,,N,
브랜던 워델,Brandon David Waddell,1994-06-03,Y,Y,Y,N,,N,CPBL Rakuten Monkeys 2023 경력 있으나 KBO(2022) 이후라 제외
