선수명,status,url,n_seasons_pre_kbo,tried_n
크리스 볼스테드,matched,http://www.claydavenport.com/pt/V/VOLSTAD19860923A.shtml,17,
유네스키 마야,unresolved,,,8
J.D. 마틴,matched,http://www.claydavenport.com/pt/M/MARTIN19830102A.shtml,19,
코리 리오단,matched,http://www.claydavenport.com/pt/R/RIORDAN19860525A.shtml,10,
에버렛 티포드,matched,http://www.claydavenport.com/pt/T/TEAFORD19840515A.shtml,13,
하이로 어센시오,unresolved,,,8
저스틴 토마스,matched,http://www.claydavenport.com/pt/T/THOMAS19840118A.shtml,19,
케일럽 클레이,matched,http://www.claydavenport.com/pt/C/CLAY19880215A.shtml,9,
앤드루 앨버스,matched,http://www.claydavenport.com/pt/A/ALBERS19851006A.shtml,8,
라이언 타투스코,matched,http://www.claydavenport.com/pt/T/TATUSKO19850327A.shtml,12,
테드 웨버,matched,http://www.claydavenport.com/pt/W/WEBER19840928A.shtml,16,
트레비스 밴와트,matched,http://www.claydavenport.com/pt/B/BANWART19860214A.shtml,11,
로스 울프,matched,http://www.claydavenport.com/pt/W/WOLF19821018A.shtml,22,
앤서니 스와잭,matched,http://www.claydavenport.com/pt/S/SWARZAK19850910A.shtml,17,
타일러 클로이드,matched,http://www.claydavenport.com/pt/C/CLOYD19870516A.shtml,15,
알프레도 피가로,matched,http://www.claydavenport.com/pt/F/FIGARO19840707A.shtml,20,
루카스 하렐,matched,http://www.claydavenport.com/pt/H/HARRELL19850603A.shtml,20,
조쉬 스틴슨,matched,http://www.claydavenport.com/pt/S/STINSON19880314A.shtml,21,
에반 믹,matched,http://www.claydavenport.com/pt/M/MEEK19830512A.shtml,22,
브룩스 레일리,matched,http://www.claydavenport.com/pt/R/RALEY19880629A.shtml,12,
조쉬 린드블럼,matched,http://www.claydavenport.com/pt/L/LINDBLOM19870615A.shtml,13,
에스밀 로저스,matched,http://www.claydavenport.com/pt/R/ROGERS19850814A.shtml,22,
재크 스튜어트,matched,http://www.claydavenport.com/pt/S/STEWART19860928A.shtml,17,
앤드루 시스코,matched,http://www.claydavenport.com/pt/S/SISCO19830113A.shtml,17,
필 어윈,matched,http://www.claydavenport.com/pt/I/IRWIN19870225A.shtml,14,
메릴 켈리,matched,http://www.claydavenport.com/pt/K/KELLY19881014A.shtml,9,
콜린 벨레스터,matched,http://www.claydavenport.com/pt/B/BALESTER19860606A.shtml,24,
앨런 웹스터,matched,http://www.claydavenport.com/pt/W/WEBSTER19900210A.shtml,15,
아놀드 레온,matched,http://www.claydavenport.com/pt/L/LEON19880906A.shtml,19,
요한 플란데,matched,http://www.claydavenport.com/pt/F/FLANDE19860127A.shtml,19,
데이비드 허프,matched,http://www.claydavenport.com/pt/H/HUFF19840822A.shtml,23,
헥터 노에시,matched,http://www.claydavenport.com/pt/N/NOESI19870126A.shtml,22,
지크 스프루일,matched,http://www.claydavenport.com/pt/S/SPRUILL19890911A.shtml,15,
알렉산드로 마에스트리,unresolved,,,8
파비오 카스티요,matched,http://www.claydavenport.com/pt/C/CASTILLO19890219A.shtml,19,
