선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
크리스 볼스테드,MLB,2008,84.333,84.333,3.82,3.82,-0.0,3.132
크리스 볼스테드,MLB,2009,159.0,159.0,5.292,5.292,0.0,3.0971
크리스 볼스테드,MLB,2010,175.0,175.0,4.341,4.341,-0.0,3.0778
크리스 볼스테드,MLB,2011,165.667,165.667,4.323,4.323,0.0,3.0254
크리스 볼스테드,MLB,2012,111.333,111.333,5.106,5.106,0.0,3.0945
크리스 볼스테드,MLB,2013,8.333,8.333,4.968,4.968,0.0,3.0479
크리스 볼스테드,AAA,2009,4.0,4.0,7.597,7.972,-0.375,3.0971
크리스 볼스테드,AAA,2010,17.0,17.0,3.901,4.406,-0.505,3.0778
크리스 볼스테드,AAA,2011,18.333,18.333,3.68,4.438,-0.758,3.0254
크리스 볼스테드,AAA,2012,71.333,71.333,3.88,4.453,-0.573,3.0945
크리스 볼스테드,AAA,2013,127.667,127.667,4.458,4.98,-0.522,3.0479
유네스키 마야,MLB,2010,26.0,26.0,5.155,5.155,-0.0,3.0778
유네스키 마야,MLB,2011,32.667,32.667,4.403,4.403,0.0,3.0254
유네스키 마야,MLB,2013,0.333,0.333,42.048,42.052,-0.004,3.0479
유네스키 마야,AAA,2010,10.333,10.333,2.787,2.965,-0.177,3.0778
유네스키 마야,AAA,2011,129.667,129.667,3.681,3.892,-0.211,3.0254
유네스키 마야,AAA,2012,167.0,167.0,4.412,4.479,-0.067,3.0945
유네스키 마야,AAA,2013,146.333,146.333,3.28,3.437,-0.157,3.0479
J.D. 마틴,MLB,2009,77.0,77.0,5.669,5.669,0.0,3.0971
J.D. 마틴,MLB,2010,48.0,48.0,4.974,4.974,-0.0,3.0778
J.D. 마틴,AAA,2008,10.0,10.0,4.732,4.923,-0.191,3.132
J.D. 마틴,AAA,2009,88.0,88.0,2.665,2.718,-0.052,3.0971
J.D. 마틴,AAA,2010,41.0,41.0,3.468,3.645,-0.177,3.0778
J.D. 마틴,AAA,2011,107.667,107.667,4.409,4.621,-0.211,3.0254
J.D. 마틴,AAA,2012,130.0,130.0,4.102,4.675,-0.573,3.0945
J.D. 마틴,AAA,2013,160.333,160.333,3.472,3.629,-0.157,3.0479
코리 리오단,AAA,2011,7.0,7.0,1.883,2.64,-0.758,3.0254
코리 리오단,AAA,2012,55.333,55.333,2.95,3.523,-0.573,3.0945
코리 리오단,AAA,2013,74.667,74.667,4.762,5.284,-0.522,3.0479
에버렛 티포드,MLB,2011,44.0,44.0,5.139,5.139,0.0,3.0254
에버렛 티포드,MLB,2012,61.333,61.333,5.41,5.41,0.0,3.0945
에버렛 티포드,MLB,2013,0.667,0.667,3.048,3.048,0.0,3.0479
에버렛 티포드,AAA,2010,4.667,4.667,7.578,8.083,-0.505,3.0778
에버렛 티포드,AAA,2011,35.0,35.0,4.025,4.783,-0.758,3.0254
에버렛 티포드,AAA,2012,33.0,33.0,3.185,3.759,-0.573,3.0945
에버렛 티포드,AAA,2013,95.333,95.333,3.31,3.832,-0.522,3.0479
하이로 어센시오,MLB,2009,2.667,2.667,5.347,5.347,0.0,3.0971
하이로 어센시오,MLB,2011,10.333,10.333,4.187,4.187,0.0,3.0254
하이로 어센시오,MLB,2012,40.333,40.333,4.756,4.756,0.0,3.0945
하이로 어센시오,MLB,2013,2.333,2.333,7.762,7.762,-0.0,3.0479
하이로 어센시오,AAA,2009,71.333,71.333,2.522,2.575,-0.052,3.0971
하이로 어센시오,AAA,2011,54.667,54.667,2.385,2.597,-0.211,3.0254
하이로 어센시오,AAA,2012,13.333,13.333,3.019,3.593,-0.573,3.0945
하이로 어센시오,AAA,2013,50.667,50.667,3.008,3.165,-0.157,3.0479
저스틴 토마스,MLB,2008,4.0,4.0,3.632,3.632,-0.0,3.132
저스틴 토마스,MLB,2010,13.0,13.0,6.462,6.462,-0.0,3.0778
저스틴 토마스,MLB,2012,7.667,7.667,4.529,4.529,0.0,3.0945
저스틴 토마스,AAA,2008,17.0,17.0,3.779,4.149,-0.37,3.132
저스틴 토마스,AAA,2009,60.333,60.333,4.605,4.98,-0.375,3.0971
저스틴 토마스,AAA,2010,54.333,54.333,3.207,3.384,-0.177,3.0778
저스틴 토마스,AAA,2011,69.333,69.333,3.458,3.669,-0.211,3.0254
저스틴 토마스,AAA,2013,84.333,84.333,3.949,4.471,-0.522,3.0479
케일럽 클레이,AAA,2013,83.0,83.0,3.217,3.374,-0.157,3.0479
앤드루 앨버스,MLB,2013,60.0,60.0,3.965,3.965,0.0,3.0479
앤드루 앨버스,AAA,2013,132.333,132.333,3.396,3.553,-0.157,3.0479
테드 웨버,MLB,2012,4.0,4.0,4.095,4.094,0.0,3.0945
테드 웨버,MLB,2013,15.0,15.0,5.048,5.048,0.0,3.0479
테드 웨버,AAA,2010,22.0,22.0,3.123,3.3,-0.177,3.0778
테드 웨버,AAA,2011,151.333,151.333,5.034,5.246,-0.211,3.0254
트레비스 밴와트,AAA,2009,6.0,6.0,1.93,2.305,-0.375,3.0971
트레비스 밴와트,AAA,2010,73.0,73.0,3.968,4.473,-0.505,3.0778
트레비스 밴와트,AAA,2011,149.667,149.667,4.315,5.073,-0.758,3.0254
트레비스 밴와트,AAA,2012,128.667,128.667,4.004,4.577,-0.573,3.0945
트레비스 밴와트,AAA,2013,131.0,131.0,4.452,4.974,-0.522,3.0479
로스 울프,MLB,2007,12.333,12.333,7.456,7.456,-0.0,3.2396
로스 울프,MLB,2010,12.667,12.667,4.341,4.341,-0.0,3.0778
로스 울프,MLB,2013,47.667,47.667,4.537,4.537,0.0,3.0479
로스 울프,AAA,2006,48.667,48.667,3.332,3.501,-0.169,3.1467
로스 울프,AAA,2007,47.333,47.333,4.718,4.98,-0.262,3.2396
로스 울프,AAA,2008,39.0,39.0,4.747,5.117,-0.37,3.132
로스 울프,AAA,2009,82.0,82.0,3.426,3.479,-0.052,3.0971
로스 울프,AAA,2011,73.667,73.667,3.419,4.177,-0.758,3.0254
로스 울프,AAA,2012,11.333,11.333,5.477,6.05,-0.573,3.0945
로스 울프,AAA,2013,35.667,35.667,2.88,3.402,-0.522,3.0479
앤서니 스와잭,MLB,2009,59.0,59.0,5.707,5.707,0.0,3.0971
앤서니 스와잭,MLB,2011,102.0,102.0,4.035,4.035,0.0,3.0254
앤서니 스와잭,MLB,2012,96.667,96.667,4.791,4.791,0.0,3.0945
앤서니 스와잭,MLB,2013,96.0,96.0,3.277,3.277,0.0,3.0479
앤서니 스와잭,MLB,2014,86.0,86.0,3.772,3.772,0.0,3.1323
앤서니 스와잭,AAA,2008,45.0,45.0,4.332,4.523,-0.191,3.132
앤서니 스와잭,AAA,2009,79.667,79.667,3.524,3.576,-0.052,3.0971
앤서니 스와잭,AAA,2010,111.667,111.667,4.627,4.804,-0.177,3.0778
앤서니 스와잭,AAA,2011,32.333,32.333,3.335,3.546,-0.211,3.0254
타일러 클로이드,MLB,2012,33.0,33.0,5.246,5.246,0.0,3.0945
타일러 클로이드,MLB,2013,60.333,60.333,4.49,4.49,0.0,3.0479
타일러 클로이드,AAA,2012,142.0,142.0,3.954,4.021,-0.067,3.0945
타일러 클로이드,AAA,2013,112.667,112.667,4.539,4.696,-0.157,3.0479
타일러 클로이드,AAA,2014,166.667,166.667,4.392,4.618,-0.225,3.1323
알프레도 피가로,MLB,2009,17.0,17.0,5.45,5.45,0.0,3.0971
