model,cv_R2,MAE,RMSE,R2,pred_range
Baseline(단일FIP),,1.666,1.9,-0.002,2.29~2.39
"Ridge(8var, alpha=9.25)",0.049,1.54,1.833,0.068,0.01~3.07
RF(극단단순 depth2/n20/leaf10),-0.005,1.468,1.793,0.108,1.26~3.46
RF(재탐색 d3/n100/leaf10),0.005,1.493,1.824,0.077,1.09~3.71
GB(재탐색 d2/n50/leaf10/lr0.05),0.038,1.651,2.045,-0.161,1.03~3.67
"Quantile Reg(median, alpha=0.01)",0.027,1.557,1.884,0.015,-0.38~3.15
"Ridge(변수축소, n=5)",0.081,1.561,1.835,0.066,-
"Ridge(로그변환 타깃, alpha=36.25)",-0.015,1.56,1.962,-0.068,0.22~2.31
"SVR(RBF, C=5.0, gamma=0.01)",0.045,1.568,1.891,0.008,-0.07~3.15
kNN(k=10),0.038,1.398,1.737,0.162,1.03~4.11
Gaussian Process(RBF+White),-0.014,1.502,1.82,0.081,1.01~3.95
