선수명,연도,팀,대체영입여부,실전출전여부,비고,출처유형,verified_statiz,kbo_no_appearance,english_name,birth_date,birth_date_source,throws,nationality,kbo_first_year_WAR,kbo_first_year_IP,kbo_first_year_GS,kbo_first_year_ERA,kbo_first_year_FIP,kbo_first_year_WHIP,kbo_first_year_K9,kbo_first_year_BB9,asia_league_experience,asia_league_detail,nationality_source,mlb_ip_last,mlb_fip_last,mlb_k9_last,mlb_bb9_last,mlb_hr9_last,mlb_fip_minus_last,mlb_ip_3yr,mlb_fip_3yr,mlb_k9_3yr,mlb_bb9_3yr,mlb_hr9_3yr,mlb_fip_minus_3yr,mlb_career_ip,mlb_fip_minus_career,mlb_fip_davenport_translated_last,mlb_fip_davenport_translated_3yr,aaa_ip_last,aaa_fip_last,aaa_k9_last,aaa_bb9_last,aaa_hr9_last,aaa_fip_minus_last,aaa_ip_3yr,aaa_fip_3yr,aaa_k9_3yr,aaa_bb9_3yr,aaa_hr9_3yr,aaa_fip_minus_3yr,aaa_career_ip,aaa_fip_minus_career,aaa_fip_davenport_translated_last,aaa_fip_davenport_translated_3yr,mlb_ip_share,mlb_career_war,mlb_n_seasons_pre_kbo,statcast_metrics_available,n_pitch_types_recorded,kbo_first_year_G,release_date,outcome_category,resigned_next_year,resigned_as_asia_quota,age_at_kbo_entry,predicted_WAR,translation_gap,mlb_workload_spike_ratio,mlb_workload_spike_log,mlb_workload_spike_diff,aaa_workload_spike_ratio,aaa_workload_spike_log,aaa_workload_spike_diff,has_mlb_record,has_aaa_record,fip_dav_last,hr9_dav_last,bb9_dav_3yr,fip_dav_career,primary_level,primary_last_season
크리스 볼스테드,2014,두산,N,Y,STATIZ 신인지명 2014 두산과 일치,STATIZ 확인,1,0,Christopher Kenneth Volstad,1986-09-23,statiz,R,United States,-0.05,87.0,17.0,6.21,6.0,1.76,3.31,3.83,N,,wiki_provisional,8.333,4.968,3.24,1.08,1.08,122.571,285.3,4.648,5.709,2.933,1.262,120.474,703.7,115.704,4.159,4.861,127.667,4.98,4.018,3.102,0.846,110.516,217.3,4.761,5.094,2.982,0.828,104.673,238.3,105.22,5.428,5.233,0.747,3.513,6.0,none,0,17.0,2014-07-12,조기방출,N,,27.513,1.995,-2.045,0.0748502994011976,-2.5922651681084994,-103.0,1.7897196261682244,0.5820589741587946,56.33333333333334,1,1,4.159,1.0,3.055,4.802,MLB,2013.0
유네스키 마야,2014,두산,Y,Y,STATIZ 신인지명 2014 두산과 일치,STATIZ 확인,1,0,Yunieski Maya,1981-08-28,statiz,R,Cuba,1.31,63.0,11.0,4.86,4.62,1.44,7.71,3.43,N,,wiki_provisional,0.333,42.052,0.0,0.0,27.003,999.0,59.0,4.947,4.119,3.203,1.068,125.549,59.0,125.549,,,146.333,3.437,6.089,1.907,0.615,89.305,443.0,3.963,5.81,2.011,0.894,100.732,453.3,100.06,,,0.115,-0.24,3.0,none,0,11.0,,완주-재계약됨(일반슬롯),Y,N,32.583,1.37,-0.06,0.010204081632653,-4.584967478670571,-32.33333333333333,0.87624750499002,-0.1321066880096933,-20.666666666666657,1,1,,,,,,
J.D. 마틴,2014,삼성,N,Y,STATIZ 활약연도 2014 삼성과 일치,STATIZ 확인,1,0,John Dale Martin,1983-01-02,statiz,R,United States,3.46,128.0,22.0,4.78,4.46,1.4,5.91,2.18,N,,wiki_provisional,48.0,4.974,5.812,2.062,1.688,123.509,125.0,5.402,4.896,2.52,1.656,129.512,125.0,129.512,5.106,5.404,160.333,3.629,6.511,1.459,0.842,93.705,398.0,4.239,6.264,1.357,1.131,102.153,537.0,95.967,4.586,5.27,0.189,0.029,2.0,none,0,23.0,,완주-재계약안됨,N,,31.236,2.533,0.927,0.6233766233766234,-0.4726044109457929,-29.0,1.2333333333333334,0.2097205309820691,30.333333333333343,1,1,4.586,1.629,1.866,5.062,AAA,2013.0
코리 리오단,2014,LG,N,Y,STATIZ 신인지명 2014 LG와 일치,STATIZ 확인,1,0,Cory S. Riordan,1986-05-25,statiz,R,United States,4.31,168.0,28.0,3.96,4.88,1.27,4.12,1.98,N,,wiki_provisional,,,,,,,,,,,,,,,,,74.667,5.284,6.75,3.013,1.446,117.271,137.0,4.438,6.372,2.234,0.985,96.324,137.0,96.324,5.813,4.801,,,0.0,none,0,28.0,,완주-재계약안됨,N,,27.844,1.287,3.023,,,,1.349397590361446,0.2996582634984967,19.333333333333336,0,1,5.813,2.123,2.688,4.801,AAA,2013.0
에버렛 티포드,2014,LG,N,Y,STATIZ 신인지명 2014 LG와 일치,STATIZ 확인,1,0,Everett James Teaford,1984-05-15,statiz,L,United States,1.42,99.2,19.0,5.24,4.91,1.57,7.68,4.61,N,,wiki_provisional,0.667,3.048,0.0,0.0,0.0,77.868,106.0,5.282,5.349,2.972,1.613,130.114,106.0,130.114,3.048,5.29,95.333,3.832,9.346,3.682,0.661,84.894,163.3,4.021,8.651,3.196,0.771,85.064,168.0,87.392,3.944,4.132,0.387,-0.577,3.0,none,0,20.0,,완주-재계약안됨,N,,29.87,2.148,-0.728,0.0108695652173913,-4.5217885770490405,-60.66666666666667,2.888888888888889,1.0608719606852626,62.33333333333333,1,1,3.048,0.0,3.054,4.691,MLB,2013.0
하이로 어센시오,2014,KIA,N,Y,STATIZ 신인지명 2014 KIA와 일치,STATIZ 확인,1,0,Jairo Manuel Asencio,1983-05-30,statiz,R,Dominican Republic,0.85,46.2,0.0,4.05,3.59,1.35,10.8,2.7,N,,wiki_provisional,2.333,7.762,15.429,7.714,3.857,188.03,53.0,4.777,6.962,4.415,1.189,119.371,55.7,119.739,,,50.667,3.165,9.947,2.487,0.888,82.269,118.7,2.951,10.542,3.034,0.683,73.865,190.0,70.95,,,0.227,-0.313,4.0,none,0,46.0,,완주-재계약안됨,N,,30.831,1.981,-1.131,0.0578512396694214,-2.849880396541428,-38.0,3.8,1.33500106673234,37.33333333333333,1,1,,,,,,
저스틴 토마스,2014,KIA,N,Y,STATIZ 활약연도 2014 KIA와 일치,STATIZ 확인,1,0,Justin Joseph Thomas,1984-01-18,statiz,L,United States,0.98,46.2,9.0,4.44,3.55,1.59,9.84,3.66,Y,NPB Nippon-Ham Fighters 2013 (KBO 입단 이전),wiki_provisional,7.667,4.529,8.217,3.522,1.174,108.589,24.7,5.403,5.108,3.649,1.459,134.062,24.7,134.062,3.642,5.55,84.333,4.471,7.257,3.628,0.854,106.231,208.0,3.92,7.702,2.942,0.692,95.468,285.3,99.049,4.915,4.401,0.08,-0.183,3.0,none,0,10.0,,완주-재계약안됨,N,,30.193,2.094,-1.114,0.5897435897435898,-0.5280674302004967,-5.333333333333333,1.216346153846154,0.1958514090262023,15.0,1,1,4.915,1.443,3.804,4.534,AAA,2013.0
케일럽 클레이,2014,한화,N,Y,STATIZ 신인지명 2014 한화와 일치,STATIZ 확인,1,0,Caleb Russell Clay,1988-02-15,statiz,R,United States,-0.13,40.0,10.0,8.32,7.55,2.17,4.5,5.62,N,,wiki_provisional,,,,,,,,,,,,,,,,,83.0,3.374,5.53,1.518,0.542,87.651,83.0,3.374,5.53,1.518,0.542,87.651,83.0,87.651,4.224,4.224,,,0.0,none,0,10.0,2014-06-11,조기방출,N,,26.116,1.81,-1.94,,,,,,,0,1,4.224,1.188,1.837,4.224,AAA,2013.0
앤드루 앨버스,2014,한화,N,Y,STATIZ 신인지명 2014 한화와 일치,STATIZ 확인,1,0,Andrew ALBERS,1985-10-06,statiz,L,Canada,2.15,151.1,28.0,5.89,4.8,1.59,6.36,2.38,N,,wiki_provisional,60.0,3.965,3.75,1.05,0.9,99.882,60.0,3.965,3.75,1.05,0.9,99.882,60.0,99.882,3.845,3.845,132.333,3.553,7.889,2.176,0.952,91.307,132.3,3.553,7.889,2.176,0.952,91.307,132.3,91.307,4.686,4.686,0.312,0.904,1.0,none,0,28.0,,완주-재계약안됨,N,,28.476,2.225,-0.075,,,,,,,1,1,3.845,1.005,1.005,4.408,MLB,2013.0
라이언 타투스코,2014,한화,N,Y,STATIZ 신인지명 2014 한화와 일치,STATIZ 확인,1,0,Ryan Tatusko,1985-03-27,statiz,R,United States,0.66,63.2,12.0,7.07,6.12,1.71,6.93,6.36,N,,wiki_provisional,,,,,,,,,,,,,,,,,120.667,4.34,7.459,5.743,0.522,112.767,160.3,4.192,7.185,5.389,0.449,107.76,160.3,107.76,5.074,4.92,,,0.0,none,0,14.0,,완주-재계약안됨,N,,29.005,0.901,-0.241,,,,3.04201680672269,1.112520718714242,81.0,0,1,5.074,1.077,6.115,4.92,AAA,2013.0
