,coef
aaa_hr9_last,-0.3556300875519717
n_pitch_types_recorded,0.33282589029121035
has_mlb_record,0.23479785896301
mlb_hr9_dav_last,0.17850965036038216
aaa_bb9_3yr,-0.17325915208974987
has_aaa_record,0.16535179226927013
mlb_fip_last,-0.13304381037389681
nat_기타,0.12942685440463142
aaa_k9_dav_last,-0.12397184162945332
mlb_bb9_dav_last,-0.10225749383011498
nat_United States,0.09239583323055839
age_at_kbo_entry,0.07448090393087081
mlb_k9_dav_last,0.06518982577425284
mlb_fip_minus_career,-0.053575639525107355
nat_Venezuela,0.026485597444056493
aaa_bb9_dav_last,-0.013551461623243659
aaa_hr9_dav_last,-0.013493611171434751
