선수명,fastball_pct,breaking_pct,offspeed_pct,primary_fb_velo,whiff_pct_weighted,run_value_weighted,n_pitch_types,cluster
글렌 스파크맨,44.4,46.7,3.3,93.2,21.397775423728817,-2.761546610169492,3,2
닉 킹엄,62.6,20.6,16.7,91.9,19.537937937937937,-1.5585585585585586,6,0
다니엘 카스타노,55.0,26.1,10.1,87.2,15.440899122807018,-7.400438596491228,4,3
대니얼 멩덴,77.0,9.1,12.6,90.0,19.612867274569407,-0.8028368794326243,4,0
댄 스트레일리,52.400000000000006,23.5,24.1,90.2,18.238999999999997,-3.3979,5,3
데니 레예스,62.300000000000004,22.5,15.1,91.8,24.56826826826827,-0.6619619619619619,5,0
덱 맥과이어,56.4,33.8,9.8,93.3,22.3678,-2.1248,5,0
드류 가뇽,54.4,13.399999999999999,32.2,92.1,22.1305,-4.0661000000000005,4,1
드류 루친스키,84.1,8.4,7.5,90.1,23.888199999999998,0.7248,6,0
드류 앤더슨,49.4,36.4,14.2,92.5,18.8168,1.1576,4,2
디트릭 엔스,95.5,1.9,2.5,94.2,23.955755755755757,1.1746746746746746,4,0
라울 알칸타라,62.0,19.2,18.7,95.2,19.03203203203203,-0.8952952952952954,5,0
라이언 카펜터,45.1,40.3,14.6,90.0,15.938400000000001,-2.3748,5,3
라클란 웰스,42.4,37.9,19.7,88.4,26.144899999999996,-5.54,4,3
로건 베렛,50.7,39.1,10.3,90.7,28.638561438561442,-1.223976023976024,5,3
로건 앨런,57.0,22.200000000000003,20.9,87.1,19.423376623376626,-0.5125874125874127,6,3
로버트 더거,43.3,38.099999999999994,18.7,89.6,28.527872127872122,-1.3002997002997003,5,3
로버트 스탁,74.39999999999999,11.9,11.9,96.2,26.493380855397145,-2.3295315682281057,4,0
로에니스 엘리아스,43.0,22.8,34.2,93.5,19.3496,0.7156,4,1
리살베르토 보니야,49.6,23.3,27.1,92.3,25.5927,-1.6886,4,1
리카르도 산체스,49.6,32.5,17.9,91.6,24.345799999999997,-2.4080999999999997,5,3
리카르도 핀토,66.7,0.0,33.3,94.7,17.036299999999997,-3.9,2,1
마이크 라이트,58.4,36.7,4.9,93.3,23.375400000000003,-2.3016999999999994,5,0
미치 화이트,52.5,47.5,0.0,94.1,15.6964,-1.5570000000000002,5,2
버치 스미스,69.0,17.4,13.6,93.4,20.1976,0.03240000000000006,5,0
벤 라이블리,60.6,38.6,0.7,91.2,19.923523523523517,-1.213213213213213,5,0
보 슐서,60.0,8.3,31.7,92.8,20.6613,-1.4835,4,1
브랜던 워델,51.6,41.8,6.6,92.5,25.665100000000002,-2.5705999999999998,4,2
빈스 벨라스케즈,42.6,44.6,12.5,93.2,27.28475426278837,0.0670010030090271,4,2
샘 가빌리오,49.3,44.8,4.5,88.0,6.25,-2.274239350912779,4,3
세스 프랭코프,48.6,45.9,0.0,91.5,20.005714285714284,-2.677142857142857,3,2
션 놀린,69.5,14.2,15.6,90.7,20.707955689828804,-1.0503524672708964,5,0
숀 모리만도,72.4,25.1,0.0,91.1,18.76492307692308,-2.2612307692307696,4,0
숀 앤더슨,14.3,85.7,0.0,92.7,6.806800000000001,-6.690500000000001,3,2
아도니스 메디나,47.9,35.5,16.7,93.4,19.658641358641358,-0.961938061938062,5,3
아리엘 미란다,58.7,30.400000000000002,10.9,90.7,26.7934,-0.2723000000000001,4,3
아리엘 후라도,50.0,31.0,15.5,90.7,19.88279792746114,-2.020621761658031,4,3
아티 르위키,33.3,59.6,0.0,93.4,31.135629709364906,-3.8490850376749184,3,2
앙헬 산체스,70.2,13.9,15.9,96.0,25.889799999999997,-1.8177,4,0
애덤 올러,51.4,41.5,7.0,93.8,21.558358358358355,-1.0415415415415417,6,0
애드리안 샘슨,54.2,33.2,12.5,92.5,20.873273273273274,-1.5184184184184184,3,2
애런 브룩스,53.7,25.7,20.6,91.8,19.3412,-0.5186,5,3
애런 윌커슨,50.5,34.5,15.0,89.8,20.3891,-2.6207,4,3
앤더슨 프랑코,55.7,13.6,30.7,96.1,24.9347,-0.07309999999999989,4,1
앤드류 수아레즈,47.0,29.4,23.5,91.9,15.612612612612612,0.2436436436436436,4,3
앨버트 수아레즈,49.1,42.3,8.6,93.5,27.483300000000003,0.3753,5,2
에니 로메로,68.8,31.2,0.0,95.1,25.8144,-5.0472,3,2
에디 버틀러,76.10000000000001,11.5,12.4,93.6,15.439999999999998,-1.8131000000000002,5,0
에릭 라우어,78.5,20.6,0.7,90.8,21.288577154308612,-2.421142284569138,5,0
에릭 스타우트,34.9,52.9,12.2,92.1,27.173300000000005,-1.2409,4,2
에릭 페디,67.4,28.900000000000002,3.6,92.6,18.38398398398399,-0.8934934934934935,5,0
엔마누엘 데 헤이수스,50.8,20.6,28.7,93.5,27.176523476523474,-1.7393606393606393,5,1
